interval_start_utc,interval_end_utc,interval_start_local,interval_end_local,actual_load_mwh,forecasted_load_mwh
2019-12-31T23:00:00+00:00,2020-01-01T00:00:00+00:00,2020-01-01T00:00:00+01:00,2020-01-01T01:00:00+01:00,5966.8,5752.0
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00+00:00,2020-01-01T01:00:00+01:00,2020-01-01T02:00:00+01:00,5768.2,5467.0
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00+00:00,2020-01-01T02:00:00+01:00,2020-01-01T03:00:00+01:00,5591.9,5360.0
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00+00:00,2020-01-01T03:00:00+01:00,2020-01-01T04:00:00+01:00,5319.3,5205.0
2020-01-01T03:00:00+00:00,2020-01-01T04:00:00+00:00,2020-01-01T04:00:00+01:00,2020-01-01T05:00:00+01:00,5249.1,5224.0
2020-01-01T04:00:00+00:00,2020-01-01T05:00:00+00:00,2020-01-01T05:00:00+01:00,2020-01-01T06:00:00+01:00,5380.8,5379.0
2020-01-01T05:00:00+00:00,2020-01-01T06:00:00+00:00,2020-01-01T06:00:00+01:00,2020-01-01T07:00:00+01:00,5487.0,5612.0
2020-01-01T06:00:00+00:00,2020-01-01T07:00:00+00:00,2020-01-01T07:00:00+01:00,2020-01-01T08:00:00+01:00,5833.3,6052.0
2020-01-01T07:00:00+00:00,2020-01-01T08:00:00+00:00,2020-01-01T08:00:00+01:00,2020-01-01T09:00:00+01:00,6143.7,6412.0
2020-01-01T08:00:00+00:00,2020-01-01T09:00:00+00:00,2020-01-01T09:00:00+01:00,2020-01-01T10:00:00+01:00,6408.1,6750.0
2020-01-01T09:00:00+00:00,2020-01-01T10:00:00+00:00,2020-01-01T10:00:00+01:00,2020-01-01T11:00:00+01:00,6657.0,6983.0
2020-01-01T10:00:00+00:00,2020-01-01T11:00:00+00:00,2020-01-01T11:00:00+01:00,2020-01-01T12:00:00+01:00,6745.7,7127.0
2020-01-01T11:00:00+00:00,2020-01-01T12:00:00+00:00,2020-01-01T12:00:00+01:00,2020-01-01T13:00:00+01:00,6699.8,6948.0
2020-01-01T12:00:00+00:00,2020-01-01T13:00:00+00:00,2020-01-01T13:00:00+01:00,2020-01-01T14:00:00+01:00,6533.9,6738.0
2020-01-01T13:00:00+00:00,2020-01-01T14:00:00+00:00,2020-01-01T14:00:00+01:00,2020-01-01T15:00:00+01:00,6452.4,6625.0
2020-01-01T14:00:00+00:00,2020-01-01T15:00:00+00:00,2020-01-01T15:00:00+01:00,2020-01-01T16:00:00+01:00,6531.7,6689.0
2020-01-01T15:00:00+00:00,2020-01-01T16:00:00+00:00,2020-01-01T16:00:00+01:00,2020-01-01T17:00:00+01:00,6942.2,7016.0
2020-01-01T16:00:00+00:00,2020-01-01T17:00:00+00:00,2020-01-01T17:00:00+01:00,2020-01-01T18:00:00+01:00,7399.0,7360.0
2020-01-01T17:00:00+00:00,2020-01-01T18:00:00+00:00,2020-01-01T18:00:00+01:00,2020-01-01T19:00:00+01:00,7427.3,7385.0
2020-01-01T18:00:00+00:00,2020-01-01T19:00:00+00:00,2020-01-01T19:00:00+01:00,2020-01-01T20:00:00+01:00,7259.1,7105.0
2020-01-01T19:00:00+00:00,2020-01-01T20:00:00+00:00,2020-01-01T20:00:00+01:00,2020-01-01T21:00:00+01:00,6901.0,6775.0
2020-01-01T20:00:00+00:00,2020-01-01T21:00:00+00:00,2020-01-01T21:00:00+01:00,2020-01-01T22:00:00+01:00,6538.8,6405.0
2020-01-01T21:00:00+00:00,2020-01-01T22:00:00+00:00,2020-01-01T22:00:00+01:00,2020-01-01T23:00:00+01:00,6471.9,6471.0
2020-01-01T22:00:00+00:00,2020-01-01T23:00:00+00:00,2020-01-01T23:00:00+01:00,2020-01-02T00:00:00+01:00,6096.3,6123.0
2020-01-01T23:00:00+00:00,2020-01-02T00:00:00+00:00,2020-01-02T00:00:00+01:00,2020-01-02T01:00:00+01:00,5808.9,5969.0
2020-01-02T00:00:00+00:00,2020-01-02T01:00:00+00:00,2020-01-02T01:00:00+01:00,2020-01-02T02:00:00+01:00,5572.9,5716.0
2020-01-02T01:00:00+00:00,2020-01-02T02:00:00+00:00,2020-01-02T02:00:00+01:00,2020-01-02T03:00:00+01:00,5480.5,5642.0
2020-01-02T02:00:00+00:00,2020-01-02T03:00:00+00:00,2020-01-02T03:00:00+01:00,2020-01-02T04:00:00+01:00,5405.0,5529.0
2020-01-02T03:00:00+00:00,2020-01-02T04:00:00+00:00,2020-01-02T04:00:00+01:00,2020-01-02T05:00:00+01:00,5569.3,5648.0
2020-01-02T04:00:00+00:00,2020-01-02T05:00:00+00:00,2020-01-02T05:00:00+01:00,2020-01-02T06:00:00+01:00,6104.7,6043.0
2020-01-02T05:00:00+00:00,2020-01-02T06:00:00+00:00,2020-01-02T06:00:00+01:00,2020-01-02T07:00:00+01:00,6904.3,6681.0
2020-01-02T06:00:00+00:00,2020-01-02T07:00:00+00:00,2020-01-02T07:00:00+01:00,2020-01-02T08:00:00+01:00,7659.8,7341.0
2020-01-02T07:00:00+00:00,2020-01-02T08:00:00+00:00,2020-01-02T08:00:00+01:00,2020-01-02T09:00:00+01:00,8040.0,7708.0
2020-01-02T08:00:00+00:00,2020-01-02T09:00:00+00:00,2020-01-02T09:00:00+01:00,2020-01-02T10:00:00+01:00,8235.3,7921.0
2020-01-02T09:00:00+00:00,2020-01-02T10:00:00+00:00,2020-01-02T10:00:00+01:00,2020-01-02T11:00:00+01:00,8182.0,8006.0
2020-01-02T10:00:00+00:00,2020-01-02T11:00:00+00:00,2020-01-02T11:00:00+01:00,2020-01-02T12:00:00+01:00,8126.3,8021.0
2020-01-02T11:00:00+00:00,2020-01-02T12:00:00+00:00,2020-01-02T12:00:00+01:00,2020-01-02T13:00:00+01:00,7945.1,7868.0
2020-01-02T12:00:00+00:00,2020-01-02T13:00:00+00:00,2020-01-02T13:00:00+01:00,2020-01-02T14:00:00+01:00,7756.9,7726.0
