timestamp_utc,timestamp_local,actual_grid_load_mwh,forecasted_grid_load_mwh,forecasted_grid_load_valid,temperature_c,hour,day_of_week,month,is_weekend,is_public_holiday,is_covid_period,is_post_invasion
2019-12-31 23:00:00+00:00,2020-01-01T00:00:00+01:00,43500.5,45471.5,True,0.9105201813665076,0,2,1,0,1,0,0
2020-01-01 00:00:00+00:00,2020-01-01T01:00:00+01:00,42598.75,43471.5,True,0.6139886449348069,1,2,1,0,1,0,0
2020-01-01 01:00:00+00:00,2020-01-01T02:00:00+01:00,41463.75,42555.5,True,0.3007901529973082,2,2,1,0,1,0,0
2020-01-01 02:00:00+00:00,2020-01-01T03:00:00+01:00,40279.5,42448.25,True,0.0204360231489317,3,2,1,0,1,0,0
2020-01-01 03:00:00+00:00,2020-01-01T04:00:00+01:00,40264.75,42567.75,True,-0.2184815854177486,4,2,1,0,1,0,0
2020-01-01 04:00:00+00:00,2020-01-01T05:00:00+01:00,40017.75,42209.0,True,-0.4295412548349873,5,2,1,0,1,0,0
2020-01-01 05:00:00+00:00,2020-01-01T06:00:00+01:00,38959.25,40675.25,True,-0.5791551180038255,6,2,1,0,1,0,0
2020-01-01 06:00:00+00:00,2020-01-01T07:00:00+01:00,39464.25,41920.5,True,-0.8317560856003752,7,2,1,0,1,0,0
2020-01-01 07:00:00+00:00,2020-01-01T08:00:00+01:00,40177.75,44545.5,True,-0.9171847783636052,8,2,1,0,1,0,0
2020-01-01 08:00:00+00:00,2020-01-01T09:00:00+01:00,42374.0,47357.0,True,-0.8073931187099106,9,2,1,0,1,0,0
2020-01-01 09:00:00+00:00,2020-01-01T10:00:00+01:00,44553.0,49263.75,True,0.2150341475469872,10,2,1,0,1,0,0
2020-01-01 10:00:00+00:00,2020-01-01T11:00:00+01:00,46662.25,51059.0,True,1.532065606087258,11,2,1,0,1,0,0
2020-01-01 11:00:00+00:00,2020-01-01T12:00:00+01:00,47989.0,51057.25,True,2.5183208181819623,12,2,1,0,1,0,0
2020-01-01 12:00:00+00:00,2020-01-01T13:00:00+01:00,47723.25,49680.25,True,3.1885669927562503,13,2,1,0,1,0,0
2020-01-01 13:00:00+00:00,2020-01-01T14:00:00+01:00,46133.25,48677.5,True,3.4944685600694925,14,2,1,0,1,0,0
2020-01-01 14:00:00+00:00,2020-01-01T15:00:00+01:00,46275.25,48705.75,True,3.1932518268837384,15,2,1,0,1,0,0
2020-01-01 15:00:00+00:00,2020-01-01T16:00:00+01:00,49069.75,49848.0,True,2.20160720225374,16,2,1,0,1,0,0
2020-01-01 16:00:00+00:00,2020-01-01T17:00:00+01:00,53047.75,53010.25,True,0.944371843828435,17,2,1,0,1,0,0
2020-01-01 17:00:00+00:00,2020-01-01T18:00:00+01:00,53873.0,54399.5,True,0.0354945222453579,18,2,1,0,1,0,0
2020-01-01 18:00:00+00:00,2020-01-01T19:00:00+01:00,52635.75,53892.5,True,-0.4975396428553722,19,2,1,0,1,0,0
2020-01-01 19:00:00+00:00,2020-01-01T20:00:00+01:00,50517.0,52231.25,True,-0.7840657966281128,20,2,1,0,1,0,0
2020-01-01 20:00:00+00:00,2020-01-01T21:00:00+01:00,49120.5,50896.5,True,-1.0778537388592326,21,2,1,0,1,0,0
2020-01-01 21:00:00+00:00,2020-01-01T22:00:00+01:00,48205.0,50285.75,True,-1.290155523783426,22,2,1,0,1,0,0
2020-01-01 22:00:00+00:00,2020-01-01T23:00:00+01:00,45410.75,47592.0,True,-1.423954339696479,23,2,1,0,1,0,0
2020-01-01 23:00:00+00:00,2020-01-02T00:00:00+01:00,43971.75,45959.75,True,-1.495043240855637,0,3,1,0,0,0,0
2020-01-02 00:00:00+00:00,2020-01-02T01:00:00+01:00,42537.0,44370.5,True,-1.6190462222319295,1,3,1,0,0,0,0
2020-01-02 01:00:00+00:00,2020-01-02T02:00:00+01:00,41919.25,44016.25,True,-1.7917942636019577,2,3,1,0,0,0,0
2020-01-02 02:00:00+00:00,2020-01-02T03:00:00+01:00,41968.5,44305.0,True,-1.9074902588999407,3,3,1,0,0,0,0
2020-01-02 03:00:00+00:00,2020-01-02T04:00:00+01:00,43068.0,45326.0,True,-1.9783933204294613,4,3,1,0,0,0,0
2020-01-02 04:00:00+00:00,2020-01-02T05:00:00+01:00,45395.5,48351.25,True,-2.0121702258210235,5,3,1,0,0,0,0
2020-01-02 05:00:00+00:00,2020-01-02T06:00:00+01:00,49812.5,54601.0,True,-1.9805299448676688,6,3,1,0,0,0,0
2020-01-02 06:00:00+00:00,2020-01-02T07:00:00+01:00,54798.25,59519.0,True,-1.9193785104553167,7,3,1,0,0,0,0
2020-01-02 07:00:00+00:00,2020-01-02T08:00:00+01:00,58182.25,61620.0,True,-2.0686969009609584,8,3,1,0,0,0,0
2020-01-02 08:00:00+00:00,2020-01-02T09:00:00+01:00,60124.25,62165.25,True,-1.7685636136225185,9,3,1,0,0,0,0
2020-01-02 09:00:00+00:00,2020-01-02T10:00:00+01:00,61127.5,62672.0,True,-0.5237025196947798,10,3,1,0,0,0,0
2020-01-02 10:00:00+00:00,2020-01-02T11:00:00+01:00,61947.5,63003.25,True,0.8778212763112379,11,3,1,0,0,0,0
2020-01-02 11:00:00+00:00,2020-01-02T12:00:00+01:00,62184.25,62728.0,True,1.9650979704685485,12,3,1,0,0,0,0
2020-01-02 12:00:00+00:00,2020-01-02T13:00:00+01:00,61336.0,62014.0,True,2.70402879173713,13,3,1,0,0,0,0
2020-01-02 13:00:00+00:00,2020-01-02T14:00:00+01:00,60372.75,61359.25,True,3.050906962670524,14,3,1,0,0,0,0
2020-01-02 14:00:00+00:00,2020-01-02T15:00:00+01:00,60448.25,61067.0,True,2.883592093661832,15,3,1,0,0,0,0
2020-01-02 15:00:00+00:00,2020-01-02T16:00:00+01:00,62291.0,61625.25,True,2.260876364133196,16,3,1,0,0,0,0
2020-01-02 16:00:00+00:00,2020-01-02T17:00:00+01:00,65235.0,63771.75,True,1.516424299126129,17,3,1,0,0,0,0
2020-01-02 17:00:00+00:00,2020-01-02T18:00:00+01:00,65359.25,63687.25,True,1.245635264412897,18,3,1,0,0,0,0
2020-01-02 18:00:00+00:00,2020-01-02T19:00:00+01:00,64001.0,62363.5,True,1.1709912490817942,19,3,1,0,0,0,0
2020-01-02 19:00:00+00:00,2020-01-02T20:00:00+01:00,60276.25,59278.5,True,0.939600014589928,20,3,1,0,0,0,0
2020-01-02 20:00:00+00:00,2020-01-02T21:00:00+01:00,57459.75,56526.25,True,1.074335275590613,21,3,1,0,0,0,0
2020-01-02 21:00:00+00:00,2020-01-02T22:00:00+01:00,55617.0,54357.0,True,1.2454287033095852,22,3,1,0,0,0,0
2020-01-02 22:00:00+00:00,2020-01-02T23:00:00+01:00,52142.0,51197.25,True,1.4377092941704177,23,3,1,0,0,0,0
2020-01-02 23:00:00+00:00,2020-01-03T00:00:00+01:00,49155.0,49743.75,True,1.6684427860945448,0,4,1,0,0,0,0
2020-01-03 00:00:00+00:00,2020-01-03T01:00:00+01:00,47681.5,47964.25,True,1.836205847198244,1,4,1,0,0,0,0
2020-01-03 01:00:00+00:00,2020-01-03T02:00:00+01:00,46908.75,47151.0,True,2.088198329749673,2,4,1,0,0,0,0
2020-01-03 02:00:00+00:00,2020-01-03T03:00:00+01:00,46809.25,47248.0,True,2.3082162345787083,3,4,1,0,0,0,0
2020-01-03 03:00:00+00:00,2020-01-03T04:00:00+01:00,47711.75,47940.5,True,2.485900866332201,4,4,1,0,0,0,0
2020-01-03 04:00:00+00:00,2020-01-03T05:00:00+01:00,49822.0,50198.25,True,2.6746529060495163,5,4,1,0,0,0,0
2020-01-03 05:00:00+00:00,2020-01-03T06:00:00+01:00,53695.0,55410.25,True,2.8622692455745664,6,4,1,0,0,0,0
2020-01-03 06:00:00+00:00,2020-01-03T07:00:00+01:00,57811.75,60981.5,True,3.091302226829839,7,4,1,0,0,0,0
2020-01-03 07:00:00+00:00,2020-01-03T08:00:00+01:00,60857.75,63788.0,True,3.596646034393359,8,4,1,0,0,0,0
2020-01-03 08:00:00+00:00,2020-01-03T09:00:00+01:00,62723.0,63987.0,True,4.014206575689855,9,4,1,0,0,0,0
2020-01-03 09:00:00+00:00,2020-01-03T10:00:00+01:00,63798.5,64471.5,True,4.776520135804901,10,4,1,0,0,0,0
2020-01-03 10:00:00+00:00,2020-01-03T11:00:00+01:00,65113.25,64675.75,True,5.628710342276804,11,4,1,0,0,0,0
2020-01-03 11:00:00+00:00,2020-01-03T12:00:00+01:00,65167.25,64243.0,True,6.300572128383237,12,4,1,0,0,0,0
2020-01-03 12:00:00+00:00,2020-01-03T13:00:00+01:00,63839.25,62840.75,True,6.718452072036541,13,4,1,0,0,0,0
2020-01-03 13:00:00+00:00,2020-01-03T14:00:00+01:00,62814.0,61574.25,True,6.933249477650634,14,4,1,0,0,0,0
2020-01-03 14:00:00+00:00,2020-01-03T15:00:00+01:00,62309.0,61101.0,True,6.872274609152726,15,4,1,0,0,0,0
2020-01-03 15:00:00+00:00,2020-01-03T16:00:00+01:00,63170.0,61740.0,True,6.680530558327632,16,4,1,0,0,0,0
2020-01-03 16:00:00+00:00,2020-01-03T17:00:00+01:00,65163.25,63734.25,True,6.508295163487503,17,4,1,0,0,0,0
