interval_start_raw,interval_end_raw,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,is_repeated_autumn_hour,actual_grid_load_mwh,actual_grid_load_including_pumped_storage_mwh,actual_pumped_storage_mwh,actual_residual_load_mwh,forecasted_grid_load_mwh,forecasted_residual_load_mwh,actual_grid_load_valid,forecasted_grid_load_valid,actual_grid_load_including_pumped_storage_valid,actual_pumped_storage_valid,actual_residual_load_valid,forecasted_residual_load_valid
"Jan 1, 2020 12:00 AM","Jan 1, 2020 1:00 AM",2020-01-01 00:00:00,2020-01-01 01:00:00,2019-12-31 23:00:00+00:00,2020-01-01 00:00:00+00:00,False,43500.5,43776.25,275.75,36890.25,45471.5,38967.0,True,True,True,True,True,True
"Jan 1, 2020 1:00 AM","Jan 1, 2020 2:00 AM",2020-01-01 01:00:00,2020-01-01 02:00:00,2020-01-01 00:00:00+00:00,2020-01-01 01:00:00+00:00,False,42598.75,43080.5,481.75,35554.75,43471.5,36574.5,True,True,True,True,True,True
"Jan 1, 2020 2:00 AM","Jan 1, 2020 3:00 AM",2020-01-01 02:00:00,2020-01-01 03:00:00,2020-01-01 01:00:00+00:00,2020-01-01 02:00:00+00:00,False,41463.75,42145.25,681.5,34033.5,42555.5,35076.0,True,True,True,True,True,True
"Jan 1, 2020 3:00 AM","Jan 1, 2020 4:00 AM",2020-01-01 03:00:00,2020-01-01 04:00:00,2020-01-01 02:00:00+00:00,2020-01-01 03:00:00+00:00,False,40279.5,41030.75,751.25,32734.75,42448.25,34495.75,True,True,True,True,True,True
"Jan 1, 2020 4:00 AM","Jan 1, 2020 5:00 AM",2020-01-01 04:00:00,2020-01-01 05:00:00,2020-01-01 03:00:00+00:00,2020-01-01 04:00:00+00:00,False,40264.75,41736.75,1472.0,32515.75,42567.75,34502.75,True,True,True,True,True,True
"Jan 1, 2020 5:00 AM","Jan 1, 2020 6:00 AM",2020-01-01 05:00:00,2020-01-01 06:00:00,2020-01-01 04:00:00+00:00,2020-01-01 05:00:00+00:00,False,40017.75,41672.5,1654.75,32291.5,42209.0,34440.5,True,True,True,True,True,True
"Jan 1, 2020 6:00 AM","Jan 1, 2020 7:00 AM",2020-01-01 06:00:00,2020-01-01 07:00:00,2020-01-01 05:00:00+00:00,2020-01-01 06:00:00+00:00,False,38959.25,40315.5,1356.25,31450.75,40675.25,33218.75,True,True,True,True,True,True
"Jan 1, 2020 7:00 AM","Jan 1, 2020 8:00 AM",2020-01-01 07:00:00,2020-01-01 08:00:00,2020-01-01 06:00:00+00:00,2020-01-01 07:00:00+00:00,False,39464.25,40237.75,773.5,32059.0,41920.5,34675.25,True,True,True,True,True,True
"Jan 1, 2020 8:00 AM","Jan 1, 2020 9:00 AM",2020-01-01 08:00:00,2020-01-01 09:00:00,2020-01-01 07:00:00+00:00,2020-01-01 08:00:00+00:00,False,40177.75,41762.75,1585.0,32479.25,44545.5,36989.5,True,True,True,True,True,True
"Jan 1, 2020 9:00 AM","Jan 1, 2020 10:00 AM",2020-01-01 09:00:00,2020-01-01 10:00:00,2020-01-01 08:00:00+00:00,2020-01-01 09:00:00+00:00,False,42374.0,43972.0,1598.0,31965.5,47357.0,37372.25,True,True,True,True,True,True
