Time from [CET/CEST],Time to [CET/CEST],Load [MW]
2021-01-01 00:00:00,2021-01-01 00:15:00,5936.000
2021-01-01 00:15:00,2021-01-01 00:30:00,5840.000
2021-01-01 00:30:00,2021-01-01 00:45:00,5728.000
2021-01-01 00:45:00,2021-01-01 01:00:00,5632.000
2021-01-01 01:00:00,2021-01-01 01:15:00,5612.000
2021-01-01 01:15:00,2021-01-01 01:30:00,5524.000
2021-01-01 01:30:00,2021-01-01 01:45:00,5452.000
2021-01-01 01:45:00,2021-01-01 02:00:00,5392.000
2021-01-01 02:00:00,2021-01-01 02:15:00,5500.000
2021-01-01 02:15:00,2021-01-01 02:30:00,5440.000
2021-01-01 02:30:00,2021-01-01 02:45:00,5376.000
2021-01-01 02:45:00,2021-01-01 03:00:00,5328.000
2021-01-01 03:00:00,2021-01-01 03:15:00,5316.000
2021-01-01 03:15:00,2021-01-01 03:30:00,5276.000
2021-01-01 03:30:00,2021-01-01 03:45:00,5260.000
2021-01-01 03:45:00,2021-01-01 04:00:00,5252.000
2021-01-01 04:00:00,2021-01-01 04:15:00,5276.000
2021-01-01 04:15:00,2021-01-01 04:30:00,5284.000
2021-01-01 04:30:00,2021-01-01 04:45:00,5316.000
2021-01-01 04:45:00,2021-01-01 05:00:00,5340.000
2021-01-01 05:00:00,2021-01-01 05:15:00,5408.000
2021-01-01 05:15:00,2021-01-01 05:30:00,5444.000
2021-01-01 05:30:00,2021-01-01 05:45:00,5492.000
2021-01-01 05:45:00,2021-01-01 06:00:00,5536.000
2021-01-01 06:00:00,2021-01-01 06:15:00,5528.000
2021-01-01 06:15:00,2021-01-01 06:30:00,5600.000
2021-01-01 06:30:00,2021-01-01 06:45:00,5684.000
2021-01-01 06:45:00,2021-01-01 07:00:00,5772.000
2021-01-01 07:00:00,2021-01-01 07:15:00,5844.000
2021-01-01 07:15:00,2021-01-01 07:30:00,5936.000
2021-01-01 07:30:00,2021-01-01 07:45:00,6028.000
2021-01-01 07:45:00,2021-01-01 08:00:00,6096.000
2021-01-01 08:00:00,2021-01-01 08:15:00,6176.000
2021-01-01 08:15:00,2021-01-01 08:30:00,6260.000
2021-01-01 08:30:00,2021-01-01 08:45:00,6360.000
2021-01-01 08:45:00,2021-01-01 09:00:00,6448.000
2021-01-01 09:00:00,2021-01-01 09:15:00,6544.000
2021-01-01 09:15:00,2021-01-01 09:30:00,6612.000
2021-01-01 09:30:00,2021-01-01 09:45:00,6672.000
2021-01-01 09:45:00,2021-01-01 10:00:00,6732.000
2021-01-01 10:00:00,2021-01-01 10:15:00,6788.000
2021-01-01 10:15:00,2021-01-01 10:30:00,6840.000
2021-01-01 10:30:00,2021-01-01 10:45:00,6884.000
2021-01-01 10:45:00,2021-01-01 11:00:00,6936.000
2021-01-01 11:00:00,2021-01-01 11:15:00,6980.000
2021-01-01 11:15:00,2021-01-01 11:30:00,7044.000
2021-01-01 11:30:00,2021-01-01 11:45:00,7028.000
2021-01-01 11:45:00,2021-01-01 12:00:00,6976.000
2021-01-01 12:00:00,2021-01-01 12:15:00,6952.000
2021-01-01 12:15:00,2021-01-01 12:30:00,6844.000
2021-01-01 12:30:00,2021-01-01 12:45:00,6744.000
2021-01-01 12:45:00,2021-01-01 13:00:00,6668.000
2021-01-01 13:00:00,2021-01-01 13:15:00,6640.000
2021-01-01 13:15:00,2021-01-01 13:30:00,6592.000
2021-01-01 13:30:00,2021-01-01 13:45:00,6536.000
2021-01-01 13:45:00,2021-01-01 14:00:00,6492.000
2021-01-01 14:00:00,2021-01-01 14:15:00,6480.000
2021-01-01 14:15:00,2021-01-01 14:30:00,6460.000
2021-01-01 14:30:00,2021-01-01 14:45:00,6444.000
2021-01-01 14:45:00,2021-01-01 15:00:00,6440.000
2021-01-01 15:00:00,2021-01-01 15:15:00,6456.000
2021-01-01 15:15:00,2021-01-01 15:30:00,6464.000
2021-01-01 15:30:00,2021-01-01 15:45:00,6500.000
2021-01-01 15:45:00,2021-01-01 16:00:00,6548.000
2021-01-01 16:00:00,2021-01-01 16:15:00,6620.000
2021-01-01 16:15:00,2021-01-01 16:30:00,6744.000
2021-01-01 16:30:00,2021-01-01 16:45:00,6844.000
2021-01-01 16:45:00,2021-01-01 17:00:00,6968.000
2021-01-01 17:00:00,2021-01-01 17:15:00,7040.000
2021-01-01 17:15:00,2021-01-01 17:30:00,7116.000
2021-01-01 17:30:00,2021-01-01 17:45:00,7144.000
2021-01-01 17:45:00,2021-01-01 18:00:00,7172.000
2021-01-01 18:00:00,2021-01-01 18:15:00,7200.000
2021-01-01 18:15:00,2021-01-01 18:30:00,7188.000
2021-01-01 18:30:00,2021-01-01 18:45:00,7144.000
2021-01-01 18:45:00,2021-01-01 19:00:00,7112.000
2021-01-01 19:00:00,2021-01-01 19:15:00,7032.000
2021-01-01 19:15:00,2021-01-01 19:30:00,6980.000
2021-01-01 19:30:00,2021-01-01 19:45:00,6916.000
2021-01-01 19:45:00,2021-01-01 20:00:00,6876.000
2021-01-01 20:00:00,2021-01-01 20:15:00,6840.000
2021-01-01 20:15:00,2021-01-01 20:30:00,6752.000
2021-01-01 20:30:00,2021-01-01 20:45:00,6668.000
2021-01-01 20:45:00,2021-01-01 21:00:00,6584.000
2021-01-01 21:00:00,2021-01-01 21:15:00,6524.000
2021-01-01 21:15:00,2021-01-01 21:30:00,6440.000
2021-01-01 21:30:00,2021-01-01 21:45:00,6356.000
2021-01-01 21:45:00,2021-01-01 22:00:00,6332.000
2021-01-01 22:00:00,2021-01-01 22:15:00,6596.000
2021-01-01 22:15:00,2021-01-01 22:30:00,6572.000
2021-01-01 22:30:00,2021-01-01 22:45:00,6456.000
2021-01-01 22:45:00,2021-01-01 23:00:00,6356.000
2021-01-01 23:00:00,2021-01-01 23:15:00,6316.000
2021-01-01 23:15:00,2021-01-01 23:30:00,6196.000
2021-01-01 23:30:00,2021-01-01 23:45:00,6080.000
2021-01-01 23:45:00,2021-01-02 00:00:00,5996.000
2021-01-02 00:00:00,2021-01-02 00:15:00,6732.000
2021-01-02 00:15:00,2021-01-02 00:30:00,6632.000
2021-01-02 00:30:00,2021-01-02 00:45:00,6516.000
2021-01-02 00:45:00,2021-01-02 01:00:00,6424.000
2021-01-02 01:00:00,2021-01-02 01:15:00,6412.000
2021-01-02 01:15:00,2021-01-02 01:30:00,6316.000
2021-01-02 01:30:00,2021-01-02 01:45:00,6240.000
2021-01-02 01:45:00,2021-01-02 02:00:00,6184.000
2021-01-02 02:00:00,2021-01-02 02:15:00,6228.000
2021-01-02 02:15:00,2021-01-02 02:30:00,6168.000
2021-01-02 02:30:00,2021-01-02 02:45:00,6112.000
2021-01-02 02:45:00,2021-01-02 03:00:00,6060.000
2021-01-02 03:00:00,2021-01-02 03:15:00,6040.000
2021-01-02 03:15:00,2021-01-02 03:30:00,6012.000
2021-01-02 03:30:00,2021-01-02 03:45:00,5996.000
2021-01-02 03:45:00,2021-01-02 04:00:00,5992.000
2021-01-02 04:00:00,2021-01-02 04:15:00,6020.000
2021-01-02 04:15:00,2021-01-02 04:30:00,6028.000
2021-01-02 04:30:00,2021-01-02 04:45:00,6064.000
2021-01-02 04:45:00,2021-01-02 05:00:00,6100.000
2021-01-02 05:00:00,2021-01-02 05:15:00,6172.000
2021-01-02 05:15:00,2021-01-02 05:30:00,6240.000
2021-01-02 05:30:00,2021-01-02 05:45:00,6316.000
2021-01-02 05:45:00,2021-01-02 06:00:00,6404.000
2021-01-02 06:00:00,2021-01-02 06:15:00,6392.000
2021-01-02 06:15:00,2021-01-02 06:30:00,6500.000
2021-01-02 06:30:00,2021-01-02 06:45:00,6616.000
2021-01-02 06:45:00,2021-01-02 07:00:00,6740.000
2021-01-02 07:00:00,2021-01-02 07:15:00,6888.000
2021-01-02 07:15:00,2021-01-02 07:30:00,7020.000
2021-01-02 07:30:00,2021-01-02 07:45:00,7136.000
2021-01-02 07:45:00,2021-01-02 08:00:00,7220.000
2021-01-02 08:00:00,2021-01-02 08:15:00,7316.000
2021-01-02 08:15:00,2021-01-02 08:30:00,7404.000
2021-01-02 08:30:00,2021-01-02 08:45:00,7496.000
2021-01-02 08:45:00,2021-01-02 09:00:00,7572.000
2021-01-02 09:00:00,2021-01-02 09:15:00,7628.000
2021-01-02 09:15:00,2021-01-02 09:30:00,7688.000
2021-01-02 09:30:00,2021-01-02 09:45:00,7728.000
2021-01-02 09:45:00,2021-01-02 10:00:00,7760.000
2021-01-02 10:00:00,2021-01-02 10:15:00,7804.000
2021-01-02 10:15:00,2021-01-02 10:30:00,7844.000
2021-01-02 10:30:00,2021-01-02 10:45:00,7864.000
2021-01-02 10:45:00,2021-01-02 11:00:00,7892.000
2021-01-02 11:00:00,2021-01-02 11:15:00,7904.000
2021-01-02 11:15:00,2021-01-02 11:30:00,7960.000
2021-01-02 11:30:00,2021-01-02 11:45:00,7960.000
2021-01-02 11:45:00,2021-01-02 12:00:00,7932.000
2021-01-02 12:00:00,2021-01-02 12:15:00,7932.000
2021-01-02 12:15:00,2021-01-02 12:30:00,7824.000
2021-01-02 12:30:00,2021-01-02 12:45:00,7728.000
2021-01-02 12:45:00,2021-01-02 13:00:00,7668.000
2021-01-02 13:00:00,2021-01-02 13:15:00,7628.000
2021-01-02 13:15:00,2021-01-02 13:30:00,7564.000
2021-01-02 13:30:00,2021-01-02 13:45:00,7504.000
2021-01-02 13:45:00,2021-01-02 14:00:00,7456.000
2021-01-02 14:00:00,2021-01-02 14:15:00,7424.000
2021-01-02 14:15:00,2021-01-02 14:30:00,7392.000
2021-01-02 14:30:00,2021-01-02 14:45:00,7424.000
2021-01-02 14:45:00,2021-01-02 15:00:00,7408.000
2021-01-02 15:00:00,2021-01-02 15:15:00,7436.000
2021-01-02 15:15:00,2021-01-02 15:30:00,7440.000
2021-01-02 15:30:00,2021-01-02 15:45:00,7484.000
2021-01-02 15:45:00,2021-01-02 16:00:00,7532.000
2021-01-02 16:00:00,2021-01-02 16:15:00,7620.000
2021-01-02 16:15:00,2021-01-02 16:30:00,7712.000
2021-01-02 16:30:00,2021-01-02 16:45:00,7820.000
2021-01-02 16:45:00,2021-01-02 17:00:00,7920.000
2021-01-02 17:00:00,2021-01-02 17:15:00,7968.000
2021-01-02 17:15:00,2021-01-02 17:30:00,8020.000
2021-01-02 17:30:00,2021-01-02 17:45:00,8024.000
2021-01-02 17:45:00,2021-01-02 18:00:00,8028.000
2021-01-02 18:00:00,2021-01-02 18:15:00,8016.000
2021-01-02 18:15:00,2021-01-02 18:30:00,7940.000
2021-01-02 18:30:00,2021-01-02 18:45:00,7860.000
2021-01-02 18:45:00,2021-01-02 19:00:00,7788.000
2021-01-02 19:00:00,2021-01-02 19:15:00,7672.000
2021-01-02 19:15:00,2021-01-02 19:30:00,7544.000
2021-01-02 19:30:00,2021-01-02 19:45:00,7444.000
2021-01-02 19:45:00,2021-01-02 20:00:00,7368.000
2021-01-02 20:00:00,2021-01-02 20:15:00,7292.000
2021-01-02 20:15:00,2021-01-02 20:30:00,7176.000
2021-01-02 20:30:00,2021-01-02 20:45:00,7060.000
2021-01-02 20:45:00,2021-01-02 21:00:00,6972.000
2021-01-02 21:00:00,2021-01-02 21:15:00,6848.000
2021-01-02 21:15:00,2021-01-02 21:30:00,6772.000
2021-01-02 21:30:00,2021-01-02 21:45:00,6676.000
2021-01-02 21:45:00,2021-01-02 22:00:00,6620.000
2021-01-02 22:00:00,2021-01-02 22:15:00,6844.000
2021-01-02 22:15:00,2021-01-02 22:30:00,6820.000
2021-01-02 22:30:00,2021-01-02 22:45:00,6688.000
2021-01-02 22:45:00,2021-01-02 23:00:00,6584.000
2021-01-02 23:00:00,2021-01-02 23:15:00,6508.000
2021-01-02 23:15:00,2021-01-02 23:30:00,6384.000
2021-01-02 23:30:00,2021-01-02 23:45:00,6264.000
2021-01-02 23:45:00,2021-01-03 00:00:00,6168.000
2021-01-03 00:00:00,2021-01-03 00:15:00,5940.000
2021-01-03 00:15:00,2021-01-03 00:30:00,5848.000
2021-01-03 00:30:00,2021-01-03 00:45:00,5736.000
2021-01-03 00:45:00,2021-01-03 01:00:00,5648.000
2021-01-03 01:00:00,2021-01-03 01:15:00,5624.000
2021-01-03 01:15:00,2021-01-03 01:30:00,5536.000
2021-01-03 01:30:00,2021-01-03 01:45:00,5460.000
2021-01-03 01:45:00,2021-01-03 02:00:00,5400.000
2021-01-03 02:00:00,2021-01-03 02:15:00,5500.000
2021-01-03 02:15:00,2021-01-03 02:30:00,5436.000
2021-01-03 02:30:00,2021-01-03 02:45:00,5372.000
