Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;5,966.75;5,966.75;0.00;4,075.75
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;5,768.25;5,768.25;0.00;3,799.25
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;5,592.00;5,592.75;0.75;3,607.00
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;5,319.25;5,785.50;466.25;3,467.25
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;5,249.00;5,757.00;508.00;3,540.00
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;5,380.50;5,736.50;356.00;3,896.50
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;5,487.00;5,721.75;234.75;4,341.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;5,833.25;6,241.50;408.25;4,949.25
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;6,143.75;6,311.25;167.50;5,419.75
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;6,408.25;6,659.50;251.25;5,789.25
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;6,657.00;7,085.75;428.75;5,999.00
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;6,745.75;7,363.75;618.00;5,930.75
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;6,699.75;7,476.50;776.75;5,728.75
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;6,533.75;7,675.25;1,141.50;5,724.75
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;6,452.25;7,209.50;757.25;5,893.25
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;6,531.75;6,754.50;222.75;6,187.75
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;6,942.50;6,967.75;25.25;6,745.50
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;7,398.75;7,398.75;0.00;7,268.75
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;7,427.25;7,427.25;0.00;7,323.25
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;7,259.25;7,259.25;0.00;7,145.25
