Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;5,752.00;3,730.00
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;5,467.00;3,543.00
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;5,360.00;3,621.00
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;5,205.00;3,669.00
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;5,224.00;3,849.00
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;5,379.00;4,112.00
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;5,612.00;4,463.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;6,052.00;5,067.00
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;6,412.00;5,581.00
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;6,750.00;6,037.00
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;6,983.00;6,342.00
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;7,127.00;6,485.00
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;6,948.00;6,310.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;6,738.00;6,178.00
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;6,625.00;6,197.00
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;6,689.00;6,393.00
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;7,016.00;6,808.00
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;7,360.00;7,192.00
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;7,385.00;7,222.00
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;7,105.00;6,937.00
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;6,775.00;6,612.00
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;6,405.00;6,255.00
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;6,471.00;6,342.00
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;6,123.00;6,017.00
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;5,969.00;5,889.00
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;5,716.00;5,650.00
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;5,642.00;5,578.00
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;5,529.00;5,465.00
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;5,648.00;5,584.00
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;6,043.00;5,986.00
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;6,681.00;6,631.00
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;7,341.00;7,294.00
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;7,708.00;7,640.00
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;7,921.00;7,793.00
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;8,006.00;7,785.00
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;8,021.00;7,713.00
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;7,868.00;7,504.00
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;7,726.00;7,345.00
Jan 2, 2020 2:00 PM;Jan 2, 2020 3:00 PM;7,645.00;7,253.00
Jan 2, 2020 3:00 PM;Jan 2, 2020 4:00 PM;7,693.00;7,245.00
Jan 2, 2020 4:00 PM;Jan 2, 2020 5:00 PM;7,982.00;7,427.00
Jan 2, 2020 5:00 PM;Jan 2, 2020 6:00 PM;8,271.00;7,620.00
Jan 2, 2020 6:00 PM;Jan 2, 2020 7:00 PM;8,181.00;7,526.00
Jan 2, 2020 7:00 PM;Jan 2, 2020 8:00 PM;7,766.00;7,207.00
Jan 2, 2020 8:00 PM;Jan 2, 2020 9:00 PM;7,340.00;6,902.00
