country,year,number_of_hourly_observations,mean_hourly_grid_load_mwh,standard_deviation_mwh,minimum_mwh,maximum_mwh,percentage_change_mean
Germany,2020,8784,55254.65,9944.06,33042.50,78599.25,
Germany,2021,8760,57602.92,9537.29,36580.75,81319.50,4.25
Germany,2022,8760,55056.62,9602.80,34122.50,78680.50,-4.42
Germany,2023,8760,52326.68,9116.69,30902.75,73747.50,-4.96
Germany,2024,8784,52994.41,9117.08,32413.25,75508.25,1.28
Germany,2025,8760,53175.53,9138.66,33233.27,75635.21,0.34
Austria,2020,8784,6951.01,1393.86,4021.00,10551.75,
Austria,2021,8760,7184.67,1240.06,4471.50,10357.75,3.36
Austria,2022,8760,7021.14,1269.96,4308.00,10254.75,-2.28
Austria,2023,8760,6645.62,1311.87,4013.75,10318.25,-5.35
Austria,2024,8784,6694.13,1284.69,4177.50,10267.50,0.73
Austria,2025,8760,6762.46,1316.52,4124.50,10401.50,1.02
