country,day_of_week,day_name,number_of_days,mean_daily_mean_grid_load_mwh,median_daily_mean_grid_load_mwh,standard_deviation_mwh,first_quartile_mwh,third_quartile_mwh
Germany,0,Monday,313,56043.69,55801.31,5580.07,52458.44,60042.04
Germany,1,Tuesday,313,57729.20,57396.42,4923.98,53929.88,61467.35
Germany,2,Wednesday,314,57825.39,57215.60,4893.08,54007.96,61821.35
Germany,3,Thursday,313,57537.69,57120.41,5430.12,53789.17,62118.79
Germany,4,Friday,313,56373.67,56046.16,5309.39,52484.46,60425.40
Germany,5,Saturday,313,49091.46,48139.58,4438.04,45253.67,52690.19
Germany,6,Sunday,313,46198.50,45424.95,4393.74,42446.24,49613.16
Austria,0,Monday,313,7114.60,6989.35,836.74,6519.46,7766.48
Austria,1,Tuesday,313,7297.34,7141.51,769.52,6714.69,7881.10
Austria,2,Wednesday,314,7303.31,7137.63,763.66,6743.26,7952.67
Austria,3,Thursday,313,7254.18,7155.69,829.71,6743.72,7901.83
Austria,4,Friday,313,7109.79,7002.55,789.01,6535.44,7708.09
Austria,5,Saturday,313,6220.03,6075.80,737.08,5634.01,6755.56
Austria,6,Sunday,313,5834.70,5641.08,725.13,5245.55,6467.68
