country,hour,number_of_observations,mean_hourly_grid_load_mwh,median_hourly_grid_load_mwh,standard_deviation_mwh,first_quartile_mwh,third_quartile_mwh
Germany,0,2192,45994.33,45453.50,4777.94,42737.12,49184.06
Germany,1,2192,44329.75,43777.69,4730.40,41101.38,47540.02
Germany,2,2192,43471.53,42916.50,4783.78,40161.75,46728.06
Germany,3,2192,43516.76,42921.50,4939.74,40104.75,46941.69
Germany,4,2192,44385.18,43863.85,5257.78,40826.12,48089.31
Germany,5,2192,46666.32,46468.01,6071.11,42776.38,50955.88
Germany,6,2192,51609.48,52440.01,8231.01,45490.88,57902.68
Germany,7,2192,55846.59,57258.50,9534.24,47968.12,63098.94
Germany,8,2192,58794.65,60355.19,9306.08,51239.25,65759.88
Germany,9,2192,60175.58,61269.35,8417.85,53917.13,66468.88
Germany,10,2192,61162.91,62062.12,7971.18,55482.38,67075.44
Germany,11,2192,61985.44,62862.50,7729.49,56552.96,67625.56
Germany,12,2192,61525.03,62331.15,7732.99,56270.50,67152.85
Germany,13,2192,60252.95,61112.75,7964.56,54791.24,66093.94
Germany,14,2192,58904.44,59689.50,7992.28,53542.54,64728.94
Germany,15,2192,58203.34,58872.12,7923.01,52994.25,63884.81
Germany,16,2192,58035.20,58390.12,7847.01,53404.38,63315.20
Germany,17,2192,59256.66,59126.29,7999.77,54703.31,64618.08
Germany,18,2192,59954.28,59603.50,7740.37,55398.69,65437.00
Germany,19,2192,59360.03,59094.00,7309.05,54810.31,64658.85
Germany,20,2192,57036.20,56998.00,6462.54,52759.12,61642.02
Germany,21,2192,54504.06,54412.62,5696.28,50682.25,58342.38
Germany,22,2192,51996.80,51680.75,5198.56,48464.25,55444.50
Germany,23,2192,48669.63,48173.21,4942.55,45268.32,52038.31
Austria,0,2192,5852.15,5736.88,672.43,5372.00,6320.31
Austria,1,2192,5587.44,5461.88,681.42,5096.25,6075.62
Austria,2,2192,5487.95,5366.88,681.31,4988.50,5985.99
Austria,3,2192,5397.64,5275.12,695.09,4886.75,5902.31
Austria,4,2192,5502.38,5396.25,732.42,4977.62,6037.69
Austria,5,2192,5977.20,5891.62,863.56,5413.12,6576.62
Austria,6,2192,6766.49,6769.00,1137.17,6081.70,7620.31
Austria,7,2192,7367.05,7413.75,1323.76,6534.00,8347.25
Austria,8,2192,7660.85,7743.12,1317.30,6855.06,8553.50
Austria,9,2192,7722.24,7792.50,1235.57,6954.75,8512.62
Austria,10,2192,7751.27,7807.25,1198.07,6972.62,8541.38
Austria,11,2192,7758.35,7821.25,1178.05,6968.62,8555.06
Austria,12,2192,7540.86,7591.00,1178.21,6735.12,8362.19
Austria,13,2192,7401.69,7451.62,1204.57,6584.88,8236.06
Austria,14,2192,7287.79,7361.50,1214.31,6464.62,8131.38
Austria,15,2192,7291.01,7374.12,1221.43,6457.81,8139.31
Austria,16,2192,7380.75,7423.62,1232.14,6576.38,8180.38
Austria,17,2192,7568.54,7561.00,1222.60,6771.56,8376.69
Austria,18,2192,7636.67,7598.12,1142.12,6898.56,8403.50
Austria,19,2192,7490.66,7486.12,988.15,6861.94,8153.60
Austria,20,2192,7172.52,7170.62,824.82,6646.50,7691.56
Austria,21,2192,6749.81,6731.50,714.42,6282.12,7189.19
Austria,22,2192,6562.02,6489.00,695.43,6088.06,7021.06
Austria,23,2192,6121.62,6021.55,683.08,5643.00,6593.19
