country,day_of_week,day_name,hour,number_of_observations,mean_hourly_grid_load_mwh,median_hourly_grid_load_mwh,first_quartile_mwh,third_quartile_mwh
Germany,0,Monday,0,313,43516.82,42958.89,40182.50,46598.50
Germany,0,Monday,1,313,42149.10,41405.75,38894.50,45072.50
Germany,0,Monday,2,313,41567.25,40872.25,38171.25,44624.50
Germany,0,Monday,3,313,41848.42,41194.50,38397.25,45212.21
Germany,0,Monday,4,313,43247.23,42630.43,39605.50,46753.75
Germany,0,Monday,5,313,46676.62,46222.50,43114.39,50335.25
Germany,0,Monday,6,313,53805.17,53632.57,50163.00,58349.00
Germany,0,Monday,7,313,59113.83,59226.00,55522.25,64286.75
Germany,0,Monday,8,313,62199.22,62118.25,58794.34,67053.75
Germany,0,Monday,9,313,63207.74,62934.89,60018.07,67576.75
Germany,0,Monday,10,313,63976.13,64113.00,60722.88,68280.50
Germany,0,Monday,11,313,64723.71,64957.50,61323.59,69125.34
Germany,0,Monday,12,313,64376.52,64666.75,60895.50,68531.25
Germany,0,Monday,13,313,63422.33,63896.25,59836.25,67708.75
Germany,0,Monday,14,313,62150.81,62541.50,58683.00,66500.25
Germany,0,Monday,15,313,61393.71,61632.25,58078.25,65672.00
Germany,0,Monday,16,313,60965.43,60720.75,57049.25,65069.00
Germany,0,Monday,17,313,62006.43,61551.50,57466.75,66799.50
Germany,0,Monday,18,313,62557.59,61761.00,57729.50,67842.75
Germany,0,Monday,19,313,62009.70,61412.50,57289.50,66921.50
Germany,0,Monday,20,313,59539.38,59317.00,55519.00,63680.49
Germany,0,Monday,21,313,56722.86,56436.25,53333.46,60134.09
Germany,0,Monday,22,313,53736.00,53431.75,50140.00,57136.25
Germany,0,Monday,23,313,50136.47,49729.25,46561.50,53416.50
Germany,1,Tuesday,0,313,47303.70,46814.25,43893.00,50089.25
Germany,1,Tuesday,1,313,45706.81,45179.75,42290.25,48451.00
Germany,1,Tuesday,2,313,44952.48,44393.19,41528.00,47957.50
Germany,1,Tuesday,3,313,45174.83,44533.75,41698.75,48149.25
Germany,1,Tuesday,4,313,46378.44,45790.00,42739.25,49503.00
Germany,1,Tuesday,5,313,49506.07,48981.65,45769.75,53046.25
Germany,1,Tuesday,6,313,56208.14,56013.50,52110.00,60108.50
Germany,1,Tuesday,7,313,61276.64,60711.07,56894.93,65542.00
Germany,1,Tuesday,8,313,64024.46,63611.50,60018.25,68098.50
Germany,1,Tuesday,9,313,64706.97,64437.50,60800.73,68661.75
Germany,1,Tuesday,10,313,65311.48,64984.25,61466.25,68857.25
Germany,1,Tuesday,11,313,65964.79,65572.50,62189.54,69374.75
Germany,1,Tuesday,12,313,65471.88,65142.25,61736.75,68910.25
Germany,1,Tuesday,13,313,64466.63,64116.50,60651.00,67920.50
Germany,1,Tuesday,14,313,63198.41,62916.00,59405.50,66952.50
Germany,1,Tuesday,15,313,62409.73,61874.75,58521.31,66130.50
Germany,1,Tuesday,16,313,61979.96,61114.61,57865.00,66112.25
Germany,1,Tuesday,17,313,62929.07,61611.75,58161.64,67662.75
Germany,1,Tuesday,18,313,63397.14,62127.75,58624.50,68153.75
Germany,1,Tuesday,19,313,62777.59,61788.25,58265.00,67354.75
Germany,1,Tuesday,20,313,60253.87,59859.25,56477.88,63933.75
Germany,1,Tuesday,21,313,57339.38,56824.32,53761.50,60355.85
Germany,1,Tuesday,22,313,54199.45,53455.75,50875.50,56983.50
Germany,1,Tuesday,23,313,50562.98,49815.50,47181.75,53410.50
Germany,2,Wednesday,0,314,47741.17,46863.62,44248.81,50505.35
Germany,2,Wednesday,1,314,46114.93,45336.38,42766.17,48831.94
Germany,2,Wednesday,2,314,45329.08,44478.70,42015.61,48158.38
Germany,2,Wednesday,3,314,45534.58,44764.05,42196.60,48432.62
Germany,2,Wednesday,4,314,46668.47,45871.88,43140.95,49775.81
Germany,2,Wednesday,5,314,49732.44,49098.56,45966.38,53265.52
Germany,2,Wednesday,6,314,56307.77,56046.75,52627.44,60195.75
Germany,2,Wednesday,7,314,61313.91,60861.38,57510.56,65699.62
Germany,2,Wednesday,8,314,64018.96,63547.50,60409.89,68180.60
Germany,2,Wednesday,9,314,64699.72,64390.38,61212.96,68299.01
Germany,2,Wednesday,10,314,65305.88,64919.62,62025.25,68967.50
Germany,2,Wednesday,11,314,65939.02,65748.88,62576.00,69534.44
Germany,2,Wednesday,12,314,65455.42,65106.00,61910.50,69312.44
Germany,2,Wednesday,13,314,64423.05,64107.28,60838.62,68249.75
Germany,2,Wednesday,14,314,63138.36,62721.88,59400.19,67072.31
Germany,2,Wednesday,15,314,62379.97,61804.62,58398.00,66255.94
Germany,2,Wednesday,16,314,61941.60,60980.92,57666.50,65949.38
Germany,2,Wednesday,17,314,62925.07,61318.38,58033.38,67642.25
Germany,2,Wednesday,18,314,63425.59,61978.12,58412.44,68673.21
Germany,2,Wednesday,19,314,62826.10,61772.88,58191.75,68049.62
Germany,2,Wednesday,20,314,60303.82,59825.25,56320.19,64740.07
Germany,2,Wednesday,21,314,57398.45,56930.50,53915.97,61239.81
Germany,2,Wednesday,22,314,54283.61,53696.88,50809.31,58185.05
Germany,2,Wednesday,23,314,50602.40,49959.62,47135.88,54180.59
Germany,3,Thursday,0,313,47841.50,47123.75,44459.00,51189.50
Germany,3,Thursday,1,313,46164.08,45541.75,42788.00,49345.00
Germany,3,Thursday,2,313,45322.52,44660.00,41874.63,48720.00
Germany,3,Thursday,3,313,45469.25,44795.50,41968.50,49058.40
Germany,3,Thursday,4,313,46564.87,45908.25,42746.00,50211.44
Germany,3,Thursday,5,313,49514.51,49298.25,45560.00,53418.00
Germany,3,Thursday,6,313,55819.60,56070.83,51757.75,60814.25
Germany,3,Thursday,7,313,60745.96,60746.25,56779.50,66090.68
Germany,3,Thursday,8,313,63484.94,63548.75,59835.50,68523.25
Germany,3,Thursday,9,313,64253.29,64254.75,60659.00,68870.50
Germany,3,Thursday,10,313,64937.94,65022.35,61362.00,69509.00
Germany,3,Thursday,11,313,65578.64,65778.00,61880.75,70113.25
Germany,3,Thursday,12,313,65110.45,65264.25,61663.23,69640.50
Germany,3,Thursday,13,313,64057.29,64326.25,60469.00,68193.50
Germany,3,Thursday,14,313,62790.32,62985.25,59137.79,67047.25
Germany,3,Thursday,15,313,62016.71,62126.00,58429.75,66600.00
Germany,3,Thursday,16,313,61638.17,61157.25,57383.00,66609.25
Germany,3,Thursday,17,313,62648.33,61863.50,57956.25,67848.00
Germany,3,Thursday,18,313,63103.63,62100.00,58092.75,68437.75
Germany,3,Thursday,19,313,62461.70,61859.25,57501.43,67539.50
Germany,3,Thursday,20,313,59950.22,59672.75,55918.00,64209.25
Germany,3,Thursday,21,313,57051.47,56589.75,53692.00,60878.50
Germany,3,Thursday,22,313,54009.07,53441.25,50475.75,57515.75
Germany,3,Thursday,23,313,50370.00,49794.25,46835.25,53570.50
Germany,4,Friday,0,313,47610.26,46927.00,44036.25,50641.50
Germany,4,Friday,1,313,45929.67,45257.00,42460.75,49054.00
Germany,4,Friday,2,313,45094.80,44364.20,41623.50,48317.69
Germany,4,Friday,3,313,45252.82,44576.25,41616.75,48695.25
Germany,4,Friday,4,313,46341.68,45710.25,42355.50,49808.25
Germany,4,Friday,5,313,49139.74,48761.75,45083.25,52857.50
Germany,4,Friday,6,313,55181.60,55234.50,51256.75,59661.75
Germany,4,Friday,7,313,60062.42,60242.75,55937.69,65023.50
Germany,4,Friday,8,313,62885.99,62874.00,59038.25,67508.75
Germany,4,Friday,9,313,63714.79,63713.75,60034.65,68010.50
Germany,4,Friday,10,313,64362.95,64560.00,60594.00,68423.50
Germany,4,Friday,11,313,64795.87,64898.25,60969.00,68907.25
Germany,4,Friday,12,313,64146.18,64401.45,60319.50,68184.25
Germany,4,Friday,13,313,62601.70,62931.25,58884.25,66805.00
Germany,4,Friday,14,313,60995.61,61278.75,57065.25,64942.50
