country,month,month_name,number_of_days,mean_daily_mean_grid_load_mwh,median_daily_mean_grid_load_mwh,standard_deviation_mwh,first_quartile_mwh,third_quartile_mwh
Germany,1,January,186,59960.07,61641.33,6261.85,55238.69,64687.70
Germany,2,February,170,60139.33,60758.67,5613.40,56781.08,64822.67
Germany,3,March,186,56800.59,57743.56,5431.71,53941.38,60381.79
Germany,4,April,180,52763.34,53745.60,6076.95,47859.40,56553.04
Germany,5,May,186,50579.10,52000.73,5856.40,44960.08,54607.71
Germany,6,June,180,50867.57,52459.39,5198.28,45882.71,54537.17
Germany,7,July,186,51008.37,52238.39,5036.95,47389.75,54690.44
Germany,8,August,186,50167.50,51404.98,4855.41,45978.24,53380.44
Germany,9,September,180,51959.31,53363.89,5181.02,48095.77,55667.60
Germany,10,October,186,54210.80,55044.55,5721.81,49240.68,58260.18
Germany,11,November,180,57945.41,59249.61,5533.20,54129.25,62320.71
Germany,12,December,186,56778.94,57330.68,6638.50,51320.40,62310.55
Austria,1,January,186,7812.11,8065.84,773.83,7148.94,8480.33
Austria,2,February,170,7708.52,7910.65,701.40,7228.72,8291.93
Austria,3,March,186,7151.62,7209.66,737.69,6739.53,7714.83
Austria,4,April,180,6552.12,6663.73,802.96,6152.87,7077.37
Austria,5,May,186,6197.95,6386.12,730.62,5526.29,6819.00
Austria,6,June,180,6234.11,6347.40,733.14,5583.31,6787.92
Austria,7,July,186,6288.43,6473.44,661.23,5811.58,6778.30
Austria,8,August,186,6248.53,6369.98,622.75,5804.21,6779.10
Austria,9,September,180,6490.77,6668.53,673.36,5966.53,7032.66
Austria,10,October,186,6777.78,6929.35,701.62,6195.18,7247.38
Austria,11,November,180,7427.87,7518.28,815.24,6938.62,8006.42
Austria,12,December,186,7673.60,7723.56,849.68,7042.19,8492.78
