country,year,month,month_name,number_of_days,mean_daily_mean_grid_load_mwh,median_daily_mean_grid_load_mwh,standard_deviation_mwh,first_quartile_mwh,third_quartile_mwh
Germany,2020,1,January,31,60919.48,64133.15,6349.84,55724.33,65771.66
Germany,2020,2,February,29,61967.53,64176.22,5277.08,56770.00,65933.43
Germany,2020,3,March,31,57650.15,57755.07,5285.72,53148.93,62124.54
Germany,2020,4,April,30,50724.01,52657.47,4998.22,45783.28,53715.65
Germany,2020,5,May,31,49862.78,52070.38,5025.46,44696.14,54191.98
Germany,2020,6,June,30,50615.65,52953.89,4711.51,46268.37,54130.69
Germany,2020,7,July,31,51673.81,53494.15,4774.94,49850.01,55133.02
Germany,2020,8,August,31,51744.82,54049.43,5255.27,46186.96,55617.34
Germany,2020,9,September,30,53715.87,56063.70,4988.08,50765.40,57190.87
Germany,2020,10,October,31,57332.53,59161.97,5518.26,51500.78,61805.76
Germany,2020,11,November,30,59329.42,61687.42,5491.35,55220.89,62677.32
Germany,2020,12,December,31,57739.03,57065.72,6994.45,51782.82,64924.95
Germany,2021,1,January,31,61332.59,63474.49,6706.20,55682.19,67221.43
Germany,2021,2,February,28,62141.18,63590.29,5609.43,59087.09,66154.27
Germany,2021,3,March,31,60391.67,62006.31,4329.79,57968.21,63493.99
Germany,2021,4,April,30,57021.71,58813.10,5984.06,50655.79,61906.29
Germany,2021,5,May,31,54079.77,56739.59,6096.35,47555.43,58635.42
Germany,2021,6,June,30,54841.73,57131.84,4983.84,51507.93,58526.65
Germany,2021,7,July,31,54614.61,56976.23,4936.99,49132.04,57738.44
Germany,2021,8,August,31,52955.08,54720.82,4783.17,48026.59,56433.09
Germany,2021,9,September,30,54866.89,56960.57,5079.37,51091.07,58075.47
Germany,2021,10,October,31,58024.06,60093.43,5591.92,53188.57,62680.27
Germany,2021,11,November,30,60964.93,62442.07,5099.17,56292.42,64496.06
Germany,2021,12,December,31,60354.51,61949.46,6508.00,54954.98,65702.88
Germany,2022,1,January,31,62213.82,64456.09,6499.58,57621.57,67395.45
Germany,2022,2,February,28,62973.06,65716.85,5211.57,58016.49,66375.92
Germany,2022,3,March,31,59100.11,60496.45,4745.00,56840.74,62802.67
