country,local_date,daily_mean_load_mwh,daily_mean_temperature_c,hourly_count,weekday,public_holiday_flag,holiday_name,day_type,matching_baseline_mwh,relative_load_deviation_pct
Germany,2020-01-01,45429.82,0.43,24,Wednesday,1,New Year's Day,weekday public holiday,66672.43,-31.86
Germany,2020-01-02,55482.28,0.14,24,Thursday,0,,ordinary weekday,63515.50,-12.65
Germany,2020-01-03,57660.14,4.69,24,Friday,0,,ordinary weekday,63222.34,-8.80
Germany,2020-01-04,54307.91,3.88,24,Saturday,0,,weekend,,
Germany,2020-01-05,49449.51,3.01,24,Sunday,0,,weekend,,
Germany,2020-01-06,57822.26,2.52,24,Monday,0,,ordinary weekday,62535.40,-7.54
Germany,2020-01-07,63964.22,3.29,24,Tuesday,0,,ordinary weekday,66152.88,-3.31
Germany,2020-01-08,65474.98,5.63,24,Wednesday,0,,ordinary weekday,66672.43,-1.80
Germany,2020-01-09,64262.18,8.42,24,Thursday,0,,ordinary weekday,63515.50,1.18
Germany,2020-01-10,63442.51,7.29,24,Friday,0,,ordinary weekday,63222.34,0.35
Germany,2020-01-11,55334.61,3.69,24,Saturday,0,,weekend,,
Germany,2020-01-12,53687.74,3.15,24,Sunday,0,,weekend,,
Germany,2020-01-13,64133.15,4.86,24,Monday,0,,ordinary weekday,62535.40,2.55
Germany,2020-01-14,67320.23,6.95,24,Tuesday,0,,ordinary weekday,66152.88,1.76
Germany,2020-01-15,66068.34,8.29,24,Wednesday,0,,ordinary weekday,66672.43,-0.91
Germany,2020-01-16,64382.59,6.44,24,Thursday,0,,ordinary weekday,63515.50,1.37
Germany,2020-01-17,64392.62,5.39,24,Friday,0,,ordinary weekday,63222.34,1.85
Germany,2020-01-18,55966.38,3.72,24,Saturday,0,,weekend,,
Germany,2020-01-19,51218.20,1.77,24,Sunday,0,,weekend,,
Germany,2020-01-20,63708.60,1.62,24,Monday,0,,ordinary weekday,62535.40,1.88
Germany,2020-01-21,66474.85,0.24,24,Tuesday,0,,ordinary weekday,66152.88,0.49
Germany,2020-01-22,66556.72,0.46,24,Wednesday,0,,ordinary weekday,66672.43,-0.17
Germany,2020-01-23,66161.74,1.05,24,Thursday,0,,ordinary weekday,63515.50,4.17
Germany,2020-01-24,65393.83,0.26,24,Friday,0,,ordinary weekday,63222.34,3.43
Germany,2020-01-25,56568.29,0.78,24,Saturday,0,,weekend,,
Germany,2020-01-26,51409.44,1.94,24,Sunday,0,,weekend,,
Germany,2020-01-27,64477.59,4.65,24,Monday,0,,ordinary weekday,62535.40,3.11
Germany,2020-01-28,66852.21,4.11,24,Tuesday,0,,ordinary weekday,66152.88,1.06
Germany,2020-01-29,68589.70,2.72,24,Wednesday,0,,ordinary weekday,66672.43,2.88
Germany,2020-01-30,67288.73,5.41,24,Thursday,0,,ordinary weekday,63515.50,5.94
Germany,2020-01-31,65222.59,9.65,24,Friday,0,,ordinary weekday,63222.34,3.16
Germany,2020-02-01,56770.00,9.78,24,Saturday,0,,weekend,,
Germany,2020-02-02,52173.08,8.04,24,Sunday,0,,weekend,,
Germany,2020-02-03,63821.94,8.17,24,Monday,0,,ordinary weekday,64016.80,-0.30
Germany,2020-02-04,66990.96,4.04,24,Tuesday,0,,ordinary weekday,66615.80,0.56
Germany,2020-02-05,65835.83,2.05,24,Wednesday,0,,ordinary weekday,66035.15,-0.30
Germany,2020-02-06,66060.83,2.09,24,Thursday,0,,ordinary weekday,65749.47,0.47
Germany,2020-02-07,63487.90,2.29,24,Friday,0,,ordinary weekday,63829.41,-0.54
Germany,2020-02-08,55578.28,3.44,24,Saturday,0,,weekend,,
Germany,2020-02-09,53485.65,7.22,24,Sunday,0,,weekend,,
Germany,2020-02-10,66161.92,7.19,24,Monday,0,,ordinary weekday,64016.80,3.35
Germany,2020-02-11,68558.79,3.74,24,Tuesday,0,,ordinary weekday,66615.80,2.92
Germany,2020-02-12,68195.12,2.89,24,Wednesday,0,,ordinary weekday,66035.15,3.27
