country,year,month,month_name,weekday,weekday_name,ordinary_weekday_count,weekday_public_holiday_count,matching_baseline_mwh,ordinary_weekday_mean_deviation_pct,weekday_public_holiday_mean_deviation_pct,weekday_public_holiday_median_deviation_pct,weekday_public_holiday_first_quartile_pct,weekday_public_holiday_third_quartile_pct
Austria,2020,1,January,0,Monday,3,1,8608.32,-0.00,-20.99,-20.99,-20.99,-20.99
Austria,2020,1,January,2,Wednesday,4,1,8716.40,0.00,-27.43,-27.43,-27.43,-27.43
Austria,2020,4,April,0,Monday,3,1,6334.20,-0.00,-21.09,-21.09,-21.09,-21.09
Austria,2020,5,May,3,Thursday,3,1,6671.07,-0.00,-19.62,-19.62,-19.62,-19.62
Austria,2020,5,May,4,Friday,4,1,6388.16,0.00,-17.49,-17.49,-17.49,-17.49
Austria,2020,6,June,0,Monday,4,1,6767.39,0.00,-24.43,-24.43,-24.43,-24.43
Austria,2020,6,June,3,Thursday,3,1,6795.91,0.00,-21.77,-21.77,-21.77,-21.77
Austria,2020,10,October,0,Monday,3,1,7583.19,0.00,-19.03,-19.03,-19.03,-19.03
Austria,2020,12,December,1,Tuesday,4,1,8127.37,-0.00,-10.86,-10.86,-10.86,-10.86
Austria,2020,12,December,4,Friday,3,1,8491.59,0.00,-25.99,-25.99,-25.99,-25.99
Austria,2021,1,January,2,Wednesday,3,1,8490.16,0.00,-17.91,-17.91,-17.91,-17.91
Austria,2021,1,January,4,Friday,4,1,8178.89,0.00,-20.60,-20.60,-20.60,-20.60
Austria,2021,4,April,0,Monday,3,1,7419.03,0.00,-22.25,-22.25,-22.25,-22.25
Austria,2021,5,May,0,Monday,4,1,6978.80,-0.00,-14.61,-14.61,-14.61,-14.61
Austria,2021,5,May,3,Thursday,3,1,7343.15,0.00,-17.95,-17.95,-17.95,-17.95
Austria,2021,6,June,3,Thursday,3,1,7307.92,-0.00,-21.56,-21.56,-21.56,-21.56
Austria,2021,10,October,1,Tuesday,3,1,7623.55,0.00,-15.49,-15.49,-15.49,-15.49
Austria,2021,11,November,0,Monday,4,1,7763.55,0.00,-21.48,-21.48,-21.48,-21.48
Austria,2021,12,December,2,Wednesday,4,1,8353.08,-0.00,-7.54,-7.54,-7.54,-7.54
Austria,2022,1,January,3,Thursday,3,1,8449.31,0.00,-17.41,-17.41,-17.41,-17.41
Austria,2022,4,April,0,Monday,3,1,7467.35,-0.00,-14.14,-14.14,-14.14,-14.14
Austria,2022,5,May,3,Thursday,3,1,6984.32,-0.00,-18.33,-18.33,-18.33,-18.33
Austria,2022,6,June,0,Monday,3,1,7049.12,0.00,-23.23,-23.23,-23.23,-23.23
Austria,2022,6,June,3,Thursday,4,1,7135.22,-0.00,-20.52,-20.52,-20.52,-20.52
Austria,2022,8,August,0,Monday,4,1,6606.98,-0.00,-18.77,-18.77,-18.77,-18.77
Austria,2022,10,October,2,Wednesday,3,1,7039.17,0.00,-16.25,-16.25,-16.25,-16.25
Austria,2022,11,November,1,Tuesday,4,1,7831.81,-0.00,-27.80,-27.80,-27.80,-27.80
Austria,2022,12,December,0,Monday,3,1,8480.73,0.00,-28.37,-28.37,-28.37,-28.37
Austria,2022,12,December,3,Thursday,4,1,7944.62,0.00,-9.40,-9.40,-9.40,-9.40
Austria,2023,1,January,4,Friday,3,1,8273.99,-0.00,-25.69,-25.69,-25.69,-25.69
Austria,2023,4,April,0,Monday,3,1,7028.70,-0.00,-23.14,-23.14,-23.14,-23.14
Austria,2023,5,May,0,Monday,3,2,6408.50,0.00,-22.34,-22.34,-23.62,-21.07
Austria,2023,5,May,3,Thursday,3,1,6525.35,0.00,-12.51,-12.51,-12.51,-12.51
Austria,2023,6,June,3,Thursday,4,1,6209.35,0.00,-20.69,-20.69,-20.69,-20.69
Austria,2023,8,August,1,Tuesday,4,1,6441.42,-0.00,-19.86,-19.86,-19.86,-19.86
Austria,2023,10,October,3,Thursday,3,1,6832.12,-0.00,-16.65,-16.65,-16.65,-16.65
Austria,2023,11,November,2,Wednesday,4,1,7770.58,0.00,-26.41,-26.41,-26.41,-26.41
Austria,2023,12,December,0,Monday,3,1,8402.91,-0.00,-32.70,-32.70,-32.70,-32.70
