country,temperature_bin_lower_c,temperature_bin_upper_c,temperature_bin_midpoint_c,number_of_days,mean_daily_mean_load_mwh,median_daily_mean_load_mwh,standard_deviation_mwh,first_quartile_mwh,third_quartile_mwh
Austria,-6.00,-4.00,-5.00,24,8093.56,8430.08,668.60,7484.17,8588.87
Austria,-4.00,-2.00,-3.00,66,7924.48,7939.60,736.75,7320.33,8563.98
Austria,-2.00,0.00,-1.00,155,7909.98,8277.05,750.28,7203.44,8554.66
Austria,0.00,2.00,1.00,201,7797.78,8066.84,713.50,7197.98,8350.77
Austria,2.00,4.00,3.00,183,7456.48,7650.82,774.80,6775.16,8132.84
Austria,4.00,6.00,5.00,179,7231.06,7465.21,699.25,6681.21,7785.90
Austria,6.00,8.00,7.00,181,6926.60,7103.90,648.24,6443.82,7346.05
Austria,8.00,10.00,9.00,138,6664.05,6841.58,729.58,5998.15,7220.05
Austria,10.00,12.00,11.00,179,6538.83,6769.95,681.63,6085.68,7053.12
Austria,12.00,14.00,13.00,122,6311.00,6412.09,725.96,5713.80,6912.30
Austria,14.00,16.00,15.00,184,6172.10,6309.02,725.92,5510.41,6744.67
Austria,16.00,18.00,17.00,174,6330.03,6485.52,647.65,5948.67,6846.83
Austria,18.00,20.00,19.00,178,6217.47,6348.84,667.06,5721.73,6786.47
Austria,20.00,22.00,21.00,117,6258.60,6410.68,703.65,5631.61,6783.60
Austria,22.00,24.00,23.00,88,6265.44,6471.48,726.27,5641.18,6785.01
Austria,24.00,26.00,25.00,16,6472.75,6580.19,491.00,6435.60,6794.07
Germany,-4.00,-2.00,-3.00,20,59425.04,61877.83,5868.80,55801.03,63809.88
Germany,-2.00,0.00,-1.00,74,58208.17,58012.91,5809.94,52732.59,63511.73
Germany,0.00,2.00,1.00,154,59660.99,61246.52,6262.10,55039.67,64599.45
Germany,2.00,4.00,3.00,155,59777.83,60659.26,5752.14,55449.65,64145.74
Germany,4.00,6.00,5.00,218,58131.87,59373.44,5923.37,53637.80,62646.04
Germany,6.00,8.00,7.00,227,56368.89,57479.03,6067.64,51243.23,60898.18
Germany,8.00,10.00,9.00,187,55022.81,55827.41,5998.52,50707.35,59718.09
Germany,10.00,12.00,11.00,194,53345.86,54538.67,5878.61,48893.34,57711.78
Germany,12.00,14.00,13.00,157,51332.17,53210.94,5321.61,46455.24,55066.83
Germany,14.00,16.00,15.00,176,50766.60,52245.18,5713.99,45736.55,55168.70
Germany,16.00,18.00,17.00,224,51351.65,52617.26,5156.35,48134.73,54994.39
Germany,18.00,20.00,19.00,188,50748.56,51964.64,5161.93,46768.79,54376.60
Germany,20.00,22.00,21.00,123,50130.25,52058.97,4990.07,45346.47,53380.62
Germany,22.00,24.00,23.00,55,49916.75,51563.10,4763.72,45124.85,53540.24
Germany,24.00,26.00,25.00,22,53088.24,53970.65,4840.50,51445.00,56051.56
