country,local_date,year,month,daily_mean_actual_load_mwh,daily_mean_forecast_load_mwh,relative_deviation_pct,trailing_7_day_mean_deviation_pct,period
Germany,2020-01-01,2020,1,45429.82,47659.21,-4.68,-4.68,1 January-10 March 2020
Germany,2020-01-02,2020,1,55482.28,56495.18,-1.79,-3.24,1 January-10 March 2020
Germany,2020-01-03,2020,1,57660.14,57683.66,-0.04,-2.17,1 January-10 March 2020
Germany,2020-01-04,2020,1,54307.91,53680.04,1.17,-1.34,1 January-10 March 2020
Germany,2020-01-05,2020,1,49449.51,46578.70,6.16,0.16,1 January-10 March 2020
Germany,2020-01-06,2020,1,57822.26,54147.79,6.79,1.27,1 January-10 March 2020
Germany,2020-01-07,2020,1,63964.22,57786.44,10.69,2.61,1 January-10 March 2020
Germany,2020-01-08,2020,1,65474.98,59622.20,9.82,4.68,1 January-10 March 2020
Germany,2020-01-09,2020,1,64262.18,60795.46,5.70,5.76,1 January-10 March 2020
Germany,2020-01-10,2020,1,63442.51,59126.80,7.30,6.80,1 January-10 March 2020
Germany,2020-01-11,2020,1,55334.61,54186.74,2.12,6.94,1 January-10 March 2020
Germany,2020-01-12,2020,1,53687.74,50190.39,6.97,7.05,1 January-10 March 2020
Germany,2020-01-13,2020,1,64133.15,59718.93,7.39,7.14,1 January-10 March 2020
Germany,2020-01-14,2020,1,67320.23,63690.82,5.70,6.43,1 January-10 March 2020
Germany,2020-01-15,2020,1,66068.34,65085.26,1.51,5.24,1 January-10 March 2020
Germany,2020-01-16,2020,1,64382.59,63754.09,0.99,4.57,1 January-10 March 2020
Germany,2020-01-17,2020,1,64392.62,62948.93,2.29,3.85,1 January-10 March 2020
Germany,2020-01-18,2020,1,55966.38,56168.39,-0.36,3.50,1 January-10 March 2020
Germany,2020-01-19,2020,1,51218.20,53224.60,-3.77,1.96,1 January-10 March 2020
Germany,2020-01-20,2020,1,63708.60,63253.89,0.72,1.01,1 January-10 March 2020
Germany,2020-01-21,2020,1,66474.85,64546.76,2.99,0.62,1 January-10 March 2020
Germany,2020-01-22,2020,1,66556.72,63355.03,5.05,1.13,1 January-10 March 2020
Germany,2020-01-23,2020,1,66161.74,63224.81,4.65,1.65,1 January-10 March 2020
Germany,2020-01-24,2020,1,65393.83,62500.67,4.63,1.99,1 January-10 March 2020
Germany,2020-01-25,2020,1,56568.29,54305.34,4.17,2.63,1 January-10 March 2020
Germany,2020-01-26,2020,1,51409.44,50698.64,1.40,3.37,1 January-10 March 2020
Germany,2020-01-27,2020,1,64477.59,61512.78,4.82,3.96,1 January-10 March 2020
Germany,2020-01-28,2020,1,66852.21,64254.83,4.04,4.11,1 January-10 March 2020
Germany,2020-01-29,2020,1,68589.70,64261.40,6.74,4.35,1 January-10 March 2020
Germany,2020-01-30,2020,1,67288.73,65042.85,3.45,4.18,1 January-10 March 2020
Germany,2020-02-01,2020,2,56770.00,55807.46,1.72,3.70,1 January-10 March 2020
Germany,2020-02-02,2020,2,52173.08,50554.09,3.20,4.00,1 January-10 March 2020
Germany,2020-02-03,2020,2,63821.94,61889.72,3.12,3.71,1 January-10 March 2020
Germany,2020-02-04,2020,2,66990.96,63535.77,5.44,3.95,1 January-10 March 2020
Germany,2020-02-05,2020,2,65835.83,63447.66,3.76,3.45,1 January-10 March 2020
Germany,2020-02-06,2020,2,66060.83,64032.32,3.17,3.40,1 January-10 March 2020
Germany,2020-02-07,2020,2,63487.90,62383.39,1.77,3.17,1 January-10 March 2020
Germany,2020-02-08,2020,2,55578.28,54492.88,1.99,3.21,1 January-10 March 2020
Germany,2020-02-09,2020,2,53485.65,52109.81,2.64,3.13,1 January-10 March 2020
Germany,2020-02-10,2020,2,66161.92,62841.69,5.28,3.44,1 January-10 March 2020
Germany,2020-02-11,2020,2,68558.79,64100.56,6.96,3.65,1 January-10 March 2020
Germany,2020-02-12,2020,2,68195.12,64625.44,5.52,3.90,1 January-10 March 2020
Germany,2020-02-13,2020,2,67266.33,64517.61,4.26,4.06,1 January-10 March 2020
Germany,2020-02-14,2020,2,63470.71,63105.47,0.58,3.89,1 January-10 March 2020
Germany,2020-02-15,2020,2,55521.47,54004.27,2.81,4.01,1 January-10 March 2020
Germany,2020-02-16,2020,2,53492.06,51295.92,4.28,4.24,1 January-10 March 2020
Germany,2020-02-17,2020,2,64587.05,61944.59,4.27,4.10,1 January-10 March 2020
Germany,2020-02-18,2020,2,66675.78,63726.65,4.63,3.76,1 January-10 March 2020
