country,year,month,month_name,monthly_mean_actual_load_mwh,monthly_mean_actual_load_mwh_2021,monthly_deviation_pct,is_transition_month,summary_period
Germany,2022,1,January,62213.82,61332.59,1.44,0,January 2022
Germany,2022,2,February,62973.06,62141.18,1.34,1,February 2022
Germany,2022,3,March,59100.11,60391.67,-2.14,0,March-December 2022
Germany,2022,4,April,55738.72,57021.71,-2.25,0,March-December 2022
Germany,2022,5,May,53602.60,54079.77,-0.88,0,March-December 2022
Germany,2022,6,June,51889.51,54841.73,-5.38,0,March-December 2022
Germany,2022,7,July,51558.85,54614.61,-5.60,0,March-December 2022
Germany,2022,8,August,50333.91,52955.08,-4.95,0,March-December 2022
Germany,2022,9,September,51880.68,54866.89,-5.44,0,March-December 2022
Germany,2022,10,October,51751.44,58024.06,-10.81,0,March-December 2022
Germany,2022,11,November,55242.52,60964.93,-9.39,0,March-December 2022
Germany,2022,12,December,54990.45,60354.51,-8.89,0,March-December 2022
Germany,2023,1,January,56657.20,61332.59,-7.62,0,2023
Germany,2023,2,February,56753.09,62141.18,-8.67,0,2023
Germany,2023,3,March,55004.80,60391.67,-8.92,0,2023
Germany,2023,4,April,50216.87,57021.71,-11.93,0,2023
Germany,2023,5,May,48821.60,54079.77,-9.72,0,2023
Germany,2023,6,June,49271.04,54841.73,-10.16,0,2023
Germany,2023,7,July,48727.82,54614.61,-10.78,0,2023
Germany,2023,8,August,48800.09,52955.08,-7.85,0,2023
Germany,2023,9,September,49739.78,54866.89,-9.34,0,2023
Germany,2023,10,October,52081.15,58024.06,-10.24,0,2023
Germany,2023,11,November,57070.52,60964.93,-6.39,0,2023
Germany,2023,12,December,55106.32,60354.51,-8.70,0,2023
Germany,2024,1,January,59268.14,61332.59,-3.37,0,2024
Germany,2024,2,February,57409.35,62141.18,-7.61,0,2024
Germany,2024,3,March,54072.85,60391.67,-10.46,0,2024
Germany,2024,4,April,52404.10,57021.71,-8.10,0,2024
Germany,2024,5,May,48364.94,54079.77,-10.57,0,2024
Germany,2024,6,June,49589.78,54841.73,-9.58,0,2024
Germany,2024,7,July,49695.85,54614.61,-9.01,0,2024
Germany,2024,8,August,49626.13,52955.08,-6.29,0,2024
Germany,2024,9,September,50897.45,54866.89,-7.23,0,2024
Germany,2024,10,October,51738.63,58024.06,-10.83,0,2024
Germany,2024,11,November,57467.39,60964.93,-5.74,0,2024
Germany,2024,12,December,55622.47,60354.51,-7.84,0,2024
Germany,2025,1,January,59369.21,61332.59,-3.20,0,2025
Germany,2025,2,February,59623.98,62141.18,-4.05,0,2025
Germany,2025,3,March,54583.99,60391.67,-9.62,0,2025
Germany,2025,4,April,50474.62,57021.71,-11.48,0,2025
Germany,2025,5,May,48742.91,54079.77,-9.87,0,2025
Germany,2025,6,June,48997.70,54841.73,-10.66,0,2025
Germany,2025,7,July,49779.27,54614.61,-8.85,0,2025
Germany,2025,8,August,47544.94,52955.08,-10.22,0,2025
Germany,2025,9,September,50655.21,54866.89,-7.68,0,2025
Germany,2025,10,October,54336.99,58024.06,-6.35,0,2025
Germany,2025,11,November,57597.66,60964.93,-5.52,0,2025
Germany,2025,12,December,56860.86,60354.51,-5.79,0,2025
Austria,2022,1,January,7716.05,7800.11,-1.08,0,January 2022
Austria,2022,2,February,8001.95,7748.21,3.27,1,February 2022
Austria,2022,3,March,7589.16,7530.65,0.78,0,March-December 2022
Austria,2022,4,April,7196.55,7005.39,2.73,0,March-December 2022
Austria,2022,5,May,6527.79,6601.38,-1.11,0,March-December 2022
Austria,2022,6,June,6513.53,6744.44,-3.42,0,March-December 2022
Austria,2022,7,July,6434.61,6736.44,-4.48,0,March-December 2022
Austria,2022,8,August,6328.38,6745.84,-6.19,0,March-December 2022
Austria,2022,9,September,6625.57,6774.97,-2.21,0,March-December 2022
Austria,2022,10,October,6539.22,7083.66,-7.69,0,March-December 2022
Austria,2022,11,November,7273.64,7474.80,-2.69,0,March-December 2022
Austria,2022,12,December,7587.38,8000.60,-5.16,0,March-December 2022
Austria,2023,1,January,7608.47,7800.11,-2.46,0,2023
Austria,2023,2,February,7621.68,7748.21,-1.63,0,2023
Austria,2023,3,March,7072.47,7530.65,-6.08,0,2023
Austria,2023,4,April,6528.24,7005.39,-6.81,0,2023
Austria,2023,5,May,6046.60,6601.38,-8.40,0,2023
Austria,2023,6,June,5835.59,6744.44,-13.48,0,2023
Austria,2023,7,July,5934.23,6736.44,-11.91,0,2023
Austria,2023,8,August,6017.04,6745.84,-10.80,0,2023
Austria,2023,9,September,6141.17,6774.97,-9.35,0,2023
Austria,2023,10,October,6382.42,7083.66,-9.90,0,2023
Austria,2023,11,November,7224.26,7474.80,-3.35,0,2023
Austria,2023,12,December,7402.68,8000.60,-7.47,0,2023
Austria,2024,1,January,7794.37,7800.11,-0.07,0,2024
Austria,2024,2,February,7239.42,7748.21,-6.57,0,2024
