country,period,period_start,period_end,n,mean_monthly_deviation_pct,median_monthly_deviation_pct
Germany,January 2022,2022-01-01,2022-01-31,1,1.44,1.44
Germany,March-December 2022,2022-03-01,2022-12-31,10,-5.57,-5.41
Germany,2023,2023-01-01,2023-12-31,12,-9.19,-9.13
Germany,2024,2024-01-01,2024-12-31,12,-8.05,-7.97
Germany,2025,2025-01-01,2025-12-31,12,-7.77,-8.26
Austria,January 2022,2022-01-01,2022-01-31,1,-1.08,-1.08
Austria,March-December 2022,2022-03-01,2022-12-31,10,-2.94,-3.06
Austria,2023,2023-01-01,2023-12-31,12,-7.64,-7.94
Austria,2024,2024-01-01,2024-12-31,12,-6.98,-7.62
Austria,2025,2025-01-01,2025-12-31,12,-6.09,-7.41
