country,d,lag,acf,pacf,pointwise_95_threshold
Germany,1,1,0.8113645739434789,0.8113645739434789,0.010467224416407142
Germany,1,2,0.5142124532962787,-0.42173040185168376,0.010467224416407142
Germany,1,3,0.2521187637379998,0.004023881572809988,0.010467224416407142
Germany,1,4,0.05249294078596554,-0.0811051830635515,0.010467224416407142
Germany,1,5,-0.12133837241764028,-0.1799777869977859,0.010467224416407142
Germany,1,6,-0.27137438197940655,-0.12069085122946595,0.010467224416407142
Germany,1,7,-0.35947041470038044,-0.0277236229960895,0.010467224416407142
Germany,1,8,-0.37164949114878787,-0.02395655042374039,0.010467224416407142
Germany,1,9,-0.32994688465007943,-0.032787243020888486,0.010467224416407142
Germany,1,10,-0.25600225361540735,-0.002339692006581618,0.010467224416407142
Germany,1,11,-0.17677594519017845,-0.04846078820119886,0.010467224416407142
Germany,1,12,-0.1524236947857174,-0.2211861478945814,0.010467224416407142
Germany,1,13,-0.17684273283837068,-0.14136689562031438,0.010467224416407142
Germany,1,14,-0.2670018501139021,-0.3406624478002506,0.010467224416407142
Germany,1,15,-0.3519117023143906,-0.16125405755697575,0.010467224416407142
Germany,1,16,-0.3976327281470111,-0.22410051363460515,0.010467224416407142
Germany,1,17,-0.37928008825414655,-0.14757673421585912,0.010467224416407142
Germany,1,18,-0.2805455403131692,-0.05157141550697671,0.010467224416407142
Germany,1,19,-0.11751839911478247,-0.04184814477596964,0.010467224416407142
Germany,1,20,0.06084716568247707,-0.11646637350236537,0.010467224416407142
Germany,1,21,0.25402461131405957,0.03190668868653139,0.010467224416407142
Germany,1,22,0.48591515955514014,0.24282656567184266,0.010467224416407142
Germany,1,23,0.7395518446347852,0.45112213977992116,0.010467224416407142
Germany,1,24,0.8892860546195973,0.37185947917495255,0.010467224416407142
Austria,1,1,0.7603938917074688,0.7603938917074687,0.010467224416407142
Austria,1,2,0.44166766894360443,-0.32368619254094333,0.010467224416407142
Austria,1,3,0.14303720651362475,-0.14666646529211674,0.010467224416407142
Austria,1,4,-0.03737399908894123,0.039871561223340055,0.010467224416407142
Austria,1,5,-0.19365932064699684,-0.22247150362055598,0.010467224416407142
Austria,1,6,-0.30550249100380983,-0.10325237542808105,0.010467224416407142
Austria,1,7,-0.3329681255947021,0.03394184134781859,0.010467224416407142
Austria,1,8,-0.30601979597970835,-0.09422245081857065,0.010467224416407142
Austria,1,9,-0.2531231698085486,-0.059165690037450085,0.010467224416407142
Austria,1,10,-0.1885264845190986,-0.0056850505308290115,0.010467224416407142
Austria,1,11,-0.06640945666712923,0.10167140211162817,0.010467224416407142
Austria,1,12,-0.03231823775259585,-0.26713665722836866,0.010467224416407142
Austria,1,13,-0.07477965098360943,-0.15368520828082616,0.010467224416407142
Austria,1,14,-0.20386150901352307,-0.22890038434520465,0.010467224416407142
Austria,1,15,-0.2723987039501783,-0.08902004884167282,0.010467224416407142
Austria,1,16,-0.3237839170261963,-0.24524102740671092,0.010467224416407142
Austria,1,17,-0.3438950477218396,-0.21147336737744002,0.010467224416407142
Austria,1,18,-0.30519176560172584,-0.11245805484089838,0.010467224416407142
Austria,1,19,-0.18440535127688318,-0.13554833082434198,0.010467224416407142
Austria,1,20,-0.024751776513108753,-0.18093020075913308,0.010467224416407142
Austria,1,21,0.14496059349187337,-0.04420921221291519,0.010467224416407142
Austria,1,22,0.41204567189248714,0.328843457022621,0.010467224416407142
Austria,1,23,0.6872290423602442,0.3422091446354235,0.010467224416407142
Austria,1,24,0.880963160855112,0.4714290188591684,0.010467224416407142
