country,specification_id,p,d,q,diagnostic,lag,value,threshold,flagged
Germany,arima_p0_d1_q0,0,1,0,residual_acf,1,0.8114111640391055,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,2,0.5143162000541192,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,3,0.2522362687846604,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,4,0.052539643700318675,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,5,-0.12137464611155875,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,6,-0.2714271803699089,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,7,-0.35949192157703064,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,8,-0.37161740693527684,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,9,-0.32986811979987946,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,10,-0.25588228784532374,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,11,-0.1766625345786129,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,12,-0.1523882480728498,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,13,-0.17690639126479452,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,14,-0.267139233618319,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,15,-0.35207544596777807,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,16,-0.3977837931381319,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,17,-0.3794430394705099,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,18,-0.2806991042357177,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,19,-0.1176758173345061,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,20,0.06073009459469821,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,21,0.2539385249596112,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,22,0.4858701146536341,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,23,0.7395496176624012,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,24,0.8893055155176928,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,25,0.7478137744079782,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,26,0.4943281285471271,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,27,0.2544956696710545,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,28,0.056658710277906,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,29,-0.12210054209433598,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,30,-0.2752016453335729,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,31,-0.3593330282594749,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,32,-0.36361243169263807,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,33,-0.31937796571621124,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,34,-0.2488551415517982,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,35,-0.17542169687641093,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,36,-0.15113968947993986,0.05,True
Germany,arima_p0_d1_q0,0,1,0,residual_acf,37,-0.1744027375849776,0.05,True
