training_start,training_end,country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,selected_d,selected_D,fit_status,convergence_status,optimizer_success,optimizer_status,optimizer_warnflag,optimizer_retry_count,converged,parameters_finite,standard_errors_finite,forecast_valid,stationarity_ok,invertibility_ok,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_adequacy_rejected,residual_adequacy_reason,warning_messages,hard_warning_messages,error_message,model_valid,eligible
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,1,0,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,1,-322418.5238479502,644839.0476959004,644839.0478099873,644847.5125976228,inf,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,2,1,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,2,-303780.8429523377,607565.6859046754,607565.6862469458,607582.6157081202,1.2410659932533565,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q1_P0_D0_Q0_s24,3,0,1,1,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,2,-308227.89674644714,616459.7934928943,616459.7938351646,616476.723296339,inf,1.2882503092275477,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q1_P0_D0_Q0_s24,4,1,1,1,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-300965.3919663846,601936.7839327692,601936.7846173295,601962.1786379365,1.4450164902654585,2.369798420970606,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p2_d1_q0_P0_D0_Q0_s24,5,2,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-300389.14601576707,600784.2920315341,600784.2927160944,600809.6867367014,1.5448398181402645,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q2_P0_D0_Q0_s24,6,0,1,2,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-302690.47646401403,605386.9529280281,605386.9536125883,605412.3476331953,inf,1.4141859742441396,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P1_D0_Q0_s24,7,0,1,0,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,2,-295272.88275807,590549.76551614,590549.7658584104,590566.6953195848,1.0051875143649847,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q1_s24,8,0,1,0,0,0,1,24,n,1,0,failed,converged,,,0,0,True,True,True,True,True,False,35064,35063,2,-307758.1595879953,615520.3191759906,615520.319518261,615537.2489794354,inf,1.0096191457814194,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined MA roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P1_D0_Q0_s24,9,1,1,0,1,0,0,24,n,1,0,failed,converged,,,0,0,True,True,True,True,False,True,35064,35063,3,-286419.7561505588,572845.5123011176,572845.5129856779,572870.9070062849,1.009040307980939,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined AR roots fail stationarity threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q1_P0_D0_Q1_s24,10,0,1,1,0,0,1,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-297485.20550870383,594976.4110174077,594976.4117019679,595001.8057225749,inf,1.0164384708226677,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],,False,False
