training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,1,0.8113790764949058,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,2,0.5142838308100872,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,3,0.25221053543196326,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,4,0.052513930813605454,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,5,-0.12141518468916214,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,6,-0.27145838931686955,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,7,-0.3595081400078443,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,8,-0.3716484484815419,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,9,-0.3299163296400398,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,10,-0.2559105382403073,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,11,-0.17662429568740504,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,12,-0.15229457915307107,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,13,-0.17682742118735956,0.05,True
