country,model_family,target_date,forecast_origin_local,forecast_origin_utc,information_cutoff_utc,timestamp_utc,interval_end_utc,timestamp_local,local_date,actual_load_mwh,forecast_mwh,bridge_used,source_timestamp_utc,source_kind,is_target_day,evaluated
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 17:00:00+00:00,2024-12-31 18:00:00+00:00,2024-12-31T18:00:00+01:00,2024-12-31,56908.75,52293.25,True,2024-12-24 17:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 18:00:00+00:00,2024-12-31 19:00:00+00:00,2024-12-31T19:00:00+01:00,2024-12-31,54382.75,49623.25,True,2024-12-24 18:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 19:00:00+00:00,2024-12-31 20:00:00+00:00,2024-12-31T20:00:00+01:00,2024-12-31,51189.0,47301.5,True,2024-12-24 19:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 20:00:00+00:00,2024-12-31 21:00:00+00:00,2024-12-31T21:00:00+01:00,2024-12-31,49336.5,45741.75,True,2024-12-24 20:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 21:00:00+00:00,2024-12-31 22:00:00+00:00,2024-12-31T22:00:00+01:00,2024-12-31,48491.25,45125.0,True,2024-12-24 21:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 22:00:00+00:00,2024-12-31 23:00:00+00:00,2024-12-31T23:00:00+01:00,2024-12-31,49235.25,43262.5,True,2024-12-24 22:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2024-12-31 23:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01T00:00:00+01:00,2025-01-01,47741.75,41605.0,False,2024-12-24 23:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,2025-01-01T01:00:00+01:00,2025-01-01,46867.25,40254.5,False,2024-12-25 00:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,2025-01-01T02:00:00+01:00,2025-01-01,45797.5,39471.25,False,2024-12-25 01:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,2025-01-01T03:00:00+01:00,2025-01-01,44623.5,39226.75,False,2024-12-25 02:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,2025-01-01T04:00:00+01:00,2025-01-01,43626.0,39651.25,False,2024-12-25 03:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,2025-01-01T05:00:00+01:00,2025-01-01,43838.5,39882.75,False,2024-12-25 04:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,2025-01-01T06:00:00+01:00,2025-01-01,43176.0,39943.25,False,2024-12-25 05:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,2025-01-01T07:00:00+01:00,2025-01-01,43525.0,41064.0,False,2024-12-25 06:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,2025-01-01T08:00:00+01:00,2025-01-01,45659.0,43583.5,False,2024-12-25 07:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,2025-01-01T09:00:00+01:00,2025-01-01,47680.0,47275.0,False,2024-12-25 08:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,2025-01-01T10:00:00+01:00,2025-01-01,50088.25,49365.5,False,2024-12-25 09:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,2025-01-01T11:00:00+01:00,2025-01-01,52089.5,51071.0,False,2024-12-25 10:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,2025-01-01T12:00:00+01:00,2025-01-01,53127.75,50522.75,False,2024-12-25 11:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,2025-01-01T13:00:00+01:00,2025-01-01,51859.0,47890.25,False,2024-12-25 12:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,2025-01-01T14:00:00+01:00,2025-01-01,50763.0,46653.75,False,2024-12-25 13:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,2025-01-01T15:00:00+01:00,2025-01-01,51838.0,46819.25,False,2024-12-25 14:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,2025-01-01T16:00:00+01:00,2025-01-01,53929.75,48368.25,False,2024-12-25 15:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,2025-01-01T17:00:00+01:00,2025-01-01,55772.25,50465.75,False,2024-12-25 16:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,2025-01-01T18:00:00+01:00,2025-01-01,55923.75,50713.0,False,2024-12-25 17:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,2025-01-01T19:00:00+01:00,2025-01-01,54756.25,49906.0,False,2024-12-25 18:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,2025-01-01T20:00:00+01:00,2025-01-01,52526.5,48295.25,False,2024-12-25 19:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,2025-01-01T21:00:00+01:00,2025-01-01,50685.75,47084.25,False,2024-12-25 20:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,2025-01-01T22:00:00+01:00,2025-01-01,48596.0,45583.5,False,2024-12-25 21:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-01,2024-12-31T18:00:00+01:00,2024-12-31T17:00:00+00:00,2024-12-31T17:00:00+00:00,2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,2025-01-01T23:00:00+01:00,2025-01-01,46001.75,43221.5,False,2024-12-25 22:00:00+00:00,observed,True,True
Germany,Weekly seasonal naive,2025-01-02,2025-01-01T18:00:00+01:00,2025-01-01T17:00:00+00:00,2025-01-01T17:00:00+00:00,2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,2025-01-01T18:00:00+01:00,2025-01-01,55923.75,50713.0,True,2024-12-25 17:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-02,2025-01-01T18:00:00+01:00,2025-01-01T17:00:00+00:00,2025-01-01T17:00:00+00:00,2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,2025-01-01T19:00:00+01:00,2025-01-01,54756.25,49906.0,True,2024-12-25 18:00:00+00:00,observed,False,False
Germany,Weekly seasonal naive,2025-01-02,2025-01-01T18:00:00+01:00,2025-01-01T17:00:00+00:00,2025-01-01T17:00:00+00:00,2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,2025-01-01T20:00:00+01:00,2025-01-01,52526.5,48295.25,True,2024-12-25 19:00:00+00:00,observed,False,False
