country,model_group,model,model_family,specification_id,MAE,RMSE,MAPE,n_observations,coverage,source_csv
Germany,primary_original,Weekly seasonal naive,baselines,Weekly seasonal naive,2656.1401912568303,4100.841117377879,5.140117743346067,8784,1.0,results/baselines/tables/baseline_validation_2024.csv
Germany,primary_original,Holt-Winters,holt_winters,hw_mul_s168_damped,2173.8406156522165,3206.358528482075,4.203780569067333,8784,1.0,results/exponential_smoothing/holt_winters/validation_2024/holt_winters_validation_2024_summary.csv
Germany,primary_original,Original ARIMA,arima,arima_p2_d1_q2,7678.890647407404,8941.320074572499,15.419939748203285,8784,1.0,results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv
Germany,primary_original,Original SARIMA,sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,3886.4925410368737,5906.8090276537605,7.416201751018319,8784,1.0,results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_summary.csv
Germany,primary_original,Regression + ARIMA errors,regression_arima_errors,reg_arima_h_d_m_hol,4405.788612552893,5811.031669133293,8.58284714226466,8784,1.0,results/regression_arima_errors/validation_2024/full_validation/regression_arima_errors_validation_2024_summary.csv
Germany,primary_original,SMARD official forecast,smard,SMARD official forecast,1962.65556352459,2551.5237164714476,3.7256123851180516,8784,1.0,results/official_benchmarks/smard_2024_benchmark.csv
Germany,robustness_enhanced,Enhanced ARIMA,enhanced_arima,enhanced_ordinary_arima_p1_d1_q2,9522.567729007817,11622.2066721782,19.839255842125045,8784,1.0,results/enhanced_arima/validation_2024/ordinary/summary.csv
Germany,robustness_enhanced,Enhanced SARIMA,enhanced_sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,3886.4925410368737,5906.8090276537605,7.416201751018319,8784,1.0,results/enhanced_sarima/validation_2024/summary.csv
Austria,primary_original,Weekly seasonal naive,baselines,Weekly seasonal naive,409.3303734061931,611.4792179176994,6.059160420672384,8784,1.0,results/baselines/tables/baseline_validation_2024.csv
Austria,primary_original,Holt-Winters,holt_winters,hw_mul_s168_damped,444.4679844845149,613.2590429433982,6.904340494415074,8784,1.0,results/exponential_smoothing/holt_winters/validation_2024/holt_winters_validation_2024_summary.csv
Austria,primary_original,Original ARIMA,arima,arima_p2_d1_q2,1037.6422688720838,1196.212732550512,16.0729765341845,8784,1.0,results/arima/validation_2024/full_validation/arima_validation_2024_summary.csv
Austria,primary_original,Original SARIMA,sarima,sarima_p1_d0_q1_P1_D1_Q0_s24,743.7670939247155,1021.3593328640623,11.214136890538096,8784,1.0,results/arima_sarima/validation_2024/full_validation/sarima_validation_2024_summary.csv
Austria,primary_original,Regression + ARIMA errors,regression_arima_errors,reg_arima_h_d_m_hol,743.7468520962873,979.1108407685956,11.517914840739063,8784,1.0,results/regression_arima_errors/validation_2024/full_validation/regression_arima_errors_validation_2024_summary.csv
Austria,primary_original,SMARD official forecast,smard,SMARD official forecast,276.54667577413477,374.17791192620086,4.1264213093007,8784,1.0,results/official_benchmarks/smard_2024_benchmark.csv
Austria,robustness_enhanced,Enhanced ARIMA,enhanced_arima,enhanced_ordinary_arima_p2_d1_q1,991.8940305857981,1229.4826585291514,15.356603619329254,8784,1.0,results/enhanced_arima/validation_2024/ordinary/summary.csv
Austria,robustness_enhanced,Enhanced SARIMA,enhanced_sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,585.3089384427008,875.5416508227653,8.674555827802488,8784,1.0,results/enhanced_sarima/validation_2024/summary.csv
