country,model_family,day_type,n_observations,mae,rmse,mape
Germany,Weekly seasonal naive,Weekday,6048,2571.3894229497355,3808.7222471542314,4.575366422465252
Germany,Weekly seasonal naive,Weekend,2496,2024.336330128205,2603.486246731046,4.317832011697346
Germany,Weekly seasonal naive,Public holiday,216,10692.883333333333,12111.991581703041,24.251458958809145
Germany,Holt-Winters,Weekday,6048,2343.5255227991365,3146.341607957633,4.21925728002751
Germany,Holt-Winters,Weekend,2496,1856.1424172811421,2524.815718668815,3.96968650522326
Germany,Holt-Winters,Public holiday,216,6418.264038281356,7701.167886479095,14.503533626856585
Germany,ARIMA,Weekday,6048,7100.561762585891,8327.311838624106,13.116132998261607
Germany,ARIMA,Weekend,2496,8367.58718740751,9713.574269141194,19.039266465144255
Germany,ARIMA,Public holiday,216,7168.355462455107,8571.04233692191,16.958100379750004
Germany,SARIMA,Weekday,6048,3592.5311010377504,5724.287161562024,6.332097908678464
Germany,SARIMA,Weekend,2496,4367.129698019161,5759.854524508437,9.173695886089238
Germany,SARIMA,Public holiday,216,5096.158105720538,7137.118384026699,11.548855177213571
Germany,Regression with ARIMA errors,Weekday,6048,4170.77635869334,5627.234934398989,7.610163949475556
Germany,Regression with ARIMA errors,Weekend,2496,5251.416281529183,6217.733350385989,11.116985896980749
Germany,Regression with ARIMA errors,Public holiday,216,5409.3144396926145,6574.763829450841,12.315526269488108
Germany,SMARD,Weekday,6048,1863.5102017195766,2402.9332047072367,3.318427089716363
Germany,SMARD,Weekend,2496,2084.01453125,2590.9487078908205,4.558762890321822
Germany,SMARD,Public holiday,216,2131.864490740741,2564.539024060858,4.889418590889336
Austria,Weekly seasonal naive,Weekday,6000,436.82802499999997,634.4772901468447,5.987351318818472
Austria,Weekly seasonal naive,Weekend,2447,361.890825500613,506.38147986047886,6.018370573319925
Austria,Weekly seasonal naive,Public holiday,313,1054.4188498402555,1325.3840954467723,18.704502660404266
Austria,Holt-Winters,Weekday,6000,458.5980887128731,632.5109142982658,6.602311477107013
Austria,Holt-Winters,Weekend,2447,418.82938688975827,560.441398749362,7.268046096129676
Austria,Holt-Winters,Public holiday,313,1109.255827304816,1344.020624874741,19.8030634933053
Austria,ARIMA,Weekday,6000,993.5076487312135,1163.132234743405,13.92247561485692
Austria,ARIMA,Weekend,2447,1058.6395075218945,1210.5380353454593,19.0361858241479
Austria,ARIMA,Public holiday,313,886.537587142128,1043.4353806310228,16.394488881066383
Austria,SARIMA,Weekday,6000,715.8600680481206,1032.137247153719,10.038398666519484
Austria,SARIMA,Weekend,2447,753.2459235898763,945.46637131273,12.716732883720027
Austria,SARIMA,Public holiday,313,726.6772209758373,937.3959982589619,13.10191914736276
Austria,Regression with ARIMA errors,Weekday,6000,620.2485917102813,832.7847781655045,8.79807655398415
Austria,Regression with ARIMA errors,Weekend,2447,874.9456264021672,1052.530461080066,14.94980965443667
Austria,Regression with ARIMA errors,Public holiday,313,723.5722196207835,954.4410802446821,13.223810954033441
Austria,SMARD,Weekday,6000,335.4093,457.52221554167915,4.686669085832902
Austria,SMARD,Weekend,2447,355.9359624029424,496.85728150600073,5.969448323766967
Austria,SMARD,Public holiday,313,240.41661341853037,297.04254154181854,4.230245649077864
