country,model_family,hour_of_day,n_observations,mae,rmse,mape
Germany,Weekly seasonal naive,0,365,2043.8066027397258,2647.9607801457073,4.493362822436753
Germany,Weekly seasonal naive,1,365,2006.8626301369866,2628.295117799932,4.570810116282518
Germany,Weekly seasonal naive,2,365,1995.7478082191778,2628.549977235535,4.641956289194456
Germany,Weekly seasonal naive,3,365,1966.9753424657533,2632.843080424085,4.576905677990917
Germany,Weekly seasonal naive,4,365,2022.0473150684932,2720.891177010168,4.6319509424421135
Germany,Weekly seasonal naive,5,365,2279.0297534246574,3286.3018537714047,4.992535759863963
Germany,Weekly seasonal naive,6,365,2807.8483013698633,4538.908683058136,5.671568045928205
Germany,Weekly seasonal naive,7,365,2955.1633972602745,5181.731031098254,5.594580521015246
Germany,Weekly seasonal naive,8,365,2881.598328767124,5119.705460134575,5.151774738160204
Germany,Weekly seasonal naive,9,365,2776.267506849315,4678.839330634943,4.845093927869866
Germany,Weekly seasonal naive,10,365,2976.261534246575,4588.235702526416,5.155840895876755
Germany,Weekly seasonal naive,11,365,3137.4697808219175,4544.12617150057,5.414006299290264
Germany,Weekly seasonal naive,12,365,3279.4077534246576,4644.061280807052,5.727599817108663
Germany,Weekly seasonal naive,13,365,3392.1236438356163,4833.5218914577,6.053689959593271
Germany,Weekly seasonal naive,14,365,3293.8499178082197,4741.242219083604,6.0153743014198096
Germany,Weekly seasonal naive,15,365,3169.2747945205474,4583.637722965139,5.834320609154274
Germany,Weekly seasonal naive,16,365,3006.937095890411,4363.271967972583,5.49035642758497
Germany,Weekly seasonal naive,17,365,2795.6419452054797,4075.104886170299,4.9507399349493095
Germany,Weekly seasonal naive,18,365,2582.6202465753427,3838.9869524769088,4.46847113210868
Germany,Weekly seasonal naive,19,365,2512.387698630137,3699.827781839738,4.352825404229998
Germany,Weekly seasonal naive,20,365,2378.744602739726,3463.529363414589,4.251593599740188
Germany,Weekly seasonal naive,21,365,2256.234082191781,3169.3492684361,4.203011956696996
Germany,Weekly seasonal naive,22,365,2155.1051232876716,2890.6258938057945,4.212370435019024
Germany,Weekly seasonal naive,23,365,2107.141397260274,2725.3412770301097,4.390876713082459
Germany,Holt-Winters,0,365,1578.4860690072096,1970.6665281303658,3.494063319297504
Germany,Holt-Winters,1,365,1548.5430507414144,1939.6375758454583,3.5379064995243934
Germany,Holt-Winters,2,365,1585.4553607449502,2005.1781754438282,3.692589127638732
Germany,Holt-Winters,3,365,1634.0833827407687,2095.450984658472,3.8012584834293723
Germany,Holt-Winters,4,365,1869.5388943844373,2474.7490533885543,4.236484266775817
Germany,Holt-Winters,5,365,2776.246037126999,3587.0520383285643,5.89205642680356
Germany,Holt-Winters,6,365,3580.5737383485716,4430.943032640081,6.987985239337222
Germany,Holt-Winters,7,365,3482.476409983288,4446.653849552787,6.519653677112509
Germany,Holt-Winters,8,365,3139.613343363455,4118.901521592375,5.689295551913943
Germany,Holt-Winters,9,365,2776.8623221828993,3735.2428713539925,4.895649343437127
Germany,Holt-Winters,10,365,2542.8916812395805,3629.656034012956,4.371440405790672
Germany,Holt-Winters,11,365,2442.9320989835273,3493.8749610661307,4.14934327340494
Germany,Holt-Winters,12,365,2474.588224315012,3478.3456187075603,4.289303493472904
Germany,Holt-Winters,13,365,2581.9669856922983,3520.299470748631,4.63839825637595
Germany,Holt-Winters,14,365,2553.121363557647,3477.012439793306,4.686464361695555
Germany,Holt-Winters,15,365,2285.836564366173,3191.42447017673,4.23206917864574
Germany,Holt-Winters,16,365,2086.58304730193,2983.1235008409017,3.8353450891240506
Germany,Holt-Winters,17,365,1859.8816308252092,2769.8504573599294,3.3170801327996005
Germany,Holt-Winters,18,365,2003.3374643448224,2884.1342720232506,3.4831603335532915
Germany,Holt-Winters,19,365,2192.014228141409,3040.0712765751114,3.814552142348364
Germany,Holt-Winters,20,365,2140.534695521168,2930.8946907844097,3.8567805069525902
Germany,Holt-Winters,21,365,2117.112023631798,2829.8374422349043,3.9690039665566945
Germany,Holt-Winters,22,365,2064.02597989971,2749.3820213713443,4.053451908488844
Germany,Holt-Winters,23,365,2006.3607944918344,2629.471045237868,4.198223399204611
Germany,ARIMA,0,365,11645.636567919333,12122.09864523825,25.668590310217155
Germany,ARIMA,1,365,12374.302140459198,12819.221204295913,28.439489245596114
Germany,ARIMA,2,365,12435.559819626153,12893.96668536557,29.292959994886793
Germany,ARIMA,3,365,11776.007204400674,12293.189636985133,27.884499025993467
Germany,ARIMA,4,365,10446.935904224316,11143.672396953276,24.456605653198523
Germany,ARIMA,5,365,7768.332650034726,9195.244235395985,17.832076618211975
Germany,ARIMA,6,365,6056.610193980105,7838.683450200117,13.359206188407493
Germany,ARIMA,7,365,7935.912193455793,8756.326993728591,15.18648355366051
Germany,ARIMA,8,365,8643.770998032103,9356.234948699854,14.952697260249332
Germany,ARIMA,9,365,7959.558219922669,8927.352449612034,13.229740092470676
Germany,ARIMA,10,365,7413.829215552691,8544.50750748687,12.163165075964827
Germany,ARIMA,11,365,7017.602689532032,8255.495834388974,11.483215611449118
Germany,ARIMA,12,365,6497.638919767227,7652.681393277071,10.884777253932928
Germany,ARIMA,13,365,6112.552915860133,7184.74883745112,10.679510194368715
Germany,ARIMA,14,365,5708.179839584359,6777.579788704784,10.426725382607827
Germany,ARIMA,15,365,5505.107793884727,6612.319452002799,10.24377936548646
Germany,ARIMA,16,365,5318.318006342747,6438.869858920919,9.787799233019728
Germany,ARIMA,17,365,5582.767258153182,6728.291819956745,9.67717148151456
Germany,ARIMA,18,365,5660.068088432042,6880.445852955605,9.504617751567462
Germany,ARIMA,19,365,5403.69263052194,6597.085416705935,9.156714965489376
