country,model_family,season,n_observations,mae,rmse,mape
Germany,Weekly seasonal naive,Winter,2160,3167.1564814814815,4575.546099941524,5.5502020017426394
Germany,Weekly seasonal naive,Spring,2207,2987.6689533303124,4469.554966755398,6.049757480381185
Germany,Weekly seasonal naive,Summer,2208,2032.8732835144926,3274.330869558373,4.138748771122215
Germany,Weekly seasonal naive,Autumn,2185,2284.0924118993134,3269.545728479996,4.214568233302506
Germany,Holt-Winters,Winter,2160,2686.7872102544434,3633.225329367741,4.736179025195061
Germany,Holt-Winters,Spring,2207,2586.279012278346,3557.0872005844394,5.182136623230578
Germany,Holt-Winters,Summer,2208,1625.846665531727,2378.83033841551,3.318920315090101
Germany,Holt-Winters,Autumn,2185,2330.2843368190943,2999.7282406346326,4.3770574519151015
Germany,ARIMA,Winter,2160,7793.320631072606,9176.500429204829,14.09585313660832
Germany,ARIMA,Spring,2207,7258.410437027646,8484.290014752487,14.961335882312188
Germany,ARIMA,Summer,2208,6821.774435830767,7944.614914687322,14.728049491098812
Germany,ARIMA,Autumn,2185,7992.081275893702,9340.960276007332,15.80095506124903
Germany,SARIMA,Winter,2160,4013.191713604567,5931.7296265722935,6.829930608710202
Germany,SARIMA,Spring,2207,3858.2480138637898,5687.206206296564,7.648958616631128
Germany,SARIMA,Summer,2208,3633.049832484379,5499.472812959417,7.388576922994018
Germany,SARIMA,Autumn,2185,3900.838662727242,5968.024464278426,7.2040028256084625
Germany,Regression with ARIMA errors,Winter,2160,4796.099772008526,5988.025557541646,8.477191162575876
Germany,Regression with ARIMA errors,Spring,2207,4580.386782664532,5876.213271593421,9.16867678570749
Germany,Regression with ARIMA errors,Summer,2208,4068.7881435723184,5486.784285309766,8.532495404512128
Germany,Regression with ARIMA errors,Autumn,2185,4598.823348815125,5944.781513793742,8.717926594562218
Germany,SMARD,Winter,2160,2222.4470694444444,2733.4781463096524,3.820189208140845
Germany,SMARD,Spring,2207,2053.268708654282,2687.453711166926,4.09485662376005
Germany,SMARD,Summer,2208,1686.9169112318841,2171.049909254236,3.5580743797946535
Germany,SMARD,Autumn,2185,1773.8812128146453,2203.751127680524,3.3681684849751394
Austria,Weekly seasonal naive,Winter,2160,490.51113425925917,686.732725922545,6.259135921895545
Austria,Weekly seasonal naive,Spring,2207,517.659492523788,731.2262345345594,8.212340550679047
Austria,Weekly seasonal naive,Summer,2208,363.99298007246375,579.3276604938826,6.003182728960224
Austria,Weekly seasonal naive,Autumn,2185,380.26226544622426,546.6302213315668,5.311749833567056
Austria,Holt-Winters,Winter,2160,405.922338988767,635.4180773045423,5.315008915760933
Austria,Holt-Winters,Spring,2207,565.034398801368,762.6689545662465,9.025452725614713
Austria,Holt-Winters,Summer,2208,418.6275160205897,582.3748350004151,7.1065257456609325
Austria,Holt-Winters,Autumn,2185,492.22351954190714,616.2180483261495,7.5543863905635344
Austria,ARIMA,Winter,2160,1069.2168538253527,1248.3639532798943,14.091609103942787
Austria,ARIMA,Spring,2207,955.9192237648967,1104.3932156419924,15.366745284353119
Austria,ARIMA,Summer,2208,893.5143556701993,1044.7854387897796,15.401307491491783
Austria,ARIMA,Autumn,2185,1115.2957453716951,1279.2418458475797,16.883069094877612
Austria,SARIMA,Winter,2160,689.9344089493384,957.6922741467622,8.724828730975194
Austria,SARIMA,Spring,2207,760.8305860626483,1022.1499717911612,12.003341957442467
Austria,SARIMA,Summer,2208,690.5338557030875,959.6446703106365,11.488895445628373
Austria,SARIMA,Autumn,2185,765.076875659192,1076.8913675240922,11.32478313765444
Austria,Regression with ARIMA errors,Winter,2160,688.340947584608,880.9617528182246,8.952440776897884
Austria,Regression with ARIMA errors,Spring,2207,709.3453353413565,927.9054672138535,11.47503877461704
Austria,Regression with ARIMA errors,Summer,2208,648.9927152892636,853.9176368366482,11.18218524080604
Austria,Regression with ARIMA errors,Autumn,2185,733.9332199401714,949.6529398178028,11.055720234116668
Austria,SMARD,Winter,2160,348.21972222222223,454.39838867156516,4.463188441167919
Austria,SMARD,Spring,2207,380.2511327594019,521.4336397258462,5.967551448267637
Austria,SMARD,Summer,2208,310.1891983695652,414.6588579044613,5.226407586239883
Austria,SMARD,Autumn,2185,312.3180320366132,459.8042901673416,4.439606600343025
