Country,Model,Role,Specification,2024_MAE,2024_RMSE,2024_MAPE,2024_n,2024_coverage,2025_MAE,2025_RMSE,2025_MAPE,2025_n,2025_coverage
Germany,Weekly seasonal naive,Primary,Weekly seasonal naive,2656.1401912568303,4100.841117377879,5.140117743346067,8784,1.0,2615.772775114155,3945.114442224444,4.987150680293287,8760,1.0
Germany,Holt-Winters,Primary,hw_mul_s168_damped,2173.8406156522165,3206.358528482075,4.203780569067333,8784,1.0,2305.127724622338,3180.163435895562,4.401731599320167,8760,1.0
Germany,ARIMA,Primary,arima_p2_d1_q2,7678.890647407404,8941.320074572499,15.419939748203285,8784,1.0,7463.248851572936,8750.522546987855,14.898553784533364,8760,1.0
Germany,SARIMA,Primary,sarima_p2_d0_q0_P0_D1_Q0_s24,3886.4925410368737,5906.8090276537605,7.416201751018319,8784,1.0,3850.314380841071,5773.37845215138,7.270391073247056,8760,1.0
Germany,Regression with ARIMA errors,Primary,reg_arima_h_d_m_hol,4405.788612552893,5811.031669133293,8.58284714226466,8784,1.0,4509.224015416413,5826.130111121758,8.725390643778715,8760,1.0
Germany,Enhanced ARIMA,Post-hoc robustness,enhanced_ordinary_arima_p1_d1_q2,9522.567729007817,11622.2066721782,19.839255842125045,8784,1.0,10306.959553928153,12518.611719622197,21.094677777738,8760,1.0
Germany,Enhanced SARIMA,Post-hoc robustness,sarima_p2_d0_q0_P0_D1_Q0_s24,3886.4925410368737,5906.8090276537605,7.416201751018319,8784,1.0,3850.314380841071,5773.37845215138,7.2703910732470565,8760,1.0
Germany,SMARD,External benchmark,N/A (official benchmark),1962.65556352459,2551.5237164714476,3.7256123851180516,8784,1.0,1932.955787671233,2461.993566708092,3.7105746151232792,8760,1.0
Austria,Weekly seasonal naive,Primary,Weekly seasonal naive,409.3303734061931,611.4792179176994,6.059160420672384,8784,1.0,437.96211187214607,640.4071711088567,6.450407538645117,8760,1.0
Austria,Holt-Winters,Primary,hw_mul_s168_damped,444.4679844845149,613.2590429433982,6.904340494415074,8784,1.0,470.7375703131148,652.9184790425242,7.259947092839719,8760,1.0
Austria,ARIMA,Primary,arima_p2_d1_q2,1037.6422688720838,1196.212732550512,16.0729765341845,8784,1.0,1007.87934156037,1172.5494289590995,15.439255185000594,8760,1.0
Austria,SARIMA,Primary,sarima_p1_d0_q1_P1_D1_Q0_s24,743.7670939247155,1021.3593328640623,11.214136890538096,8784,1.0,726.689857703035,1005.3663091627698,10.896020326336114,8760,1.0
Austria,Regression with ARIMA errors,Primary,reg_arima_h_d_m_hol,743.7468520962873,979.1108407685956,11.517914840739063,8784,1.0,695.0869409599425,903.8949933779188,10.67462287407807,8760,1.0
Austria,Enhanced ARIMA,Post-hoc robustness,enhanced_ordinary_arima_p2_d1_q1,991.8940305857981,1229.4826585291514,15.356603619329254,8784,1.0,1021.782437369113,1201.6143790271535,15.6953076162103,8760,1.0
Austria,Enhanced SARIMA,Post-hoc robustness,sarima_p2_d0_q0_P0_D1_Q0_s24,585.3089384427008,875.5416508227653,8.674555827802488,8784,1.0,588.9664693834944,872.1535380954178,8.735706915105505,8760,1.0
Austria,SMARD,External benchmark,N/A (official benchmark),276.54667577413477,374.17791192620086,4.1264213093007,8784,1.0,337.7490296803653,464.2051105145805,5.028689663403716,8760,1.0
