country,target_date,local_hour,actual,in_house_forecast,smard_forecast,absolute_error_in_house,absolute_error_smard
Austria,2025-05-21,0,5592.250000000,5654.000000000,5625.000000000,61.750000000,32.750000000
Austria,2025-05-21,1,5322.750000000,5366.500000000,5368.000000000,43.750000000,45.250000000
Austria,2025-05-21,2,5193.750000000,5273.500000000,5261.000000000,79.750000000,67.250000000
Austria,2025-05-21,3,5143.000000000,5223.500000000,5206.000000000,80.500000000,63.000000000
Austria,2025-05-21,4,5274.500000000,5361.250000000,5380.000000000,86.750000000,105.500000000
Austria,2025-05-21,5,5835.500000000,6021.750000000,5984.000000000,186.250000000,148.500000000
Austria,2025-05-21,6,6723.750000000,6878.750000000,6884.000000000,155.000000000,160.250000000
Austria,2025-05-21,7,7275.000000000,7093.000000000,7259.000000000,182.000000000,16.000000000
Austria,2025-05-21,8,7520.750000000,7041.000000000,7183.000000000,479.750000000,337.750000000
Austria,2025-05-21,9,7510.500000000,6856.250000000,6877.000000000,654.250000000,633.500000000
Austria,2025-05-21,10,7502.000000000,6816.000000000,6570.000000000,686.000000000,932.000000000
Austria,2025-05-21,11,7392.250000000,6717.250000000,6481.000000000,675.000000000,911.250000000
Austria,2025-05-21,12,7196.000000000,6475.500000000,6388.000000000,720.500000000,808.000000000
Austria,2025-05-21,13,7120.750000000,6391.250000000,6399.000000000,729.500000000,721.750000000
Austria,2025-05-21,14,6832.750000000,6247.750000000,6277.000000000,585.000000000,555.750000000
Austria,2025-05-21,15,6707.000000000,6152.000000000,6241.000000000,555.000000000,466.000000000
Austria,2025-05-21,16,6800.000000000,6151.750000000,6314.000000000,648.250000000,486.000000000
Austria,2025-05-21,17,6976.500000000,6313.250000000,6620.000000000,663.250000000,356.500000000
Austria,2025-05-21,18,7156.000000000,6607.500000000,6994.000000000,548.500000000,162.000000000
Austria,2025-05-21,19,7191.500000000,6967.750000000,7173.000000000,223.750000000,18.500000000
Austria,2025-05-21,20,7018.000000000,7073.250000000,7076.000000000,55.250000000,58.000000000
Austria,2025-05-21,21,6662.000000000,6759.500000000,6713.000000000,97.500000000,51.000000000
Austria,2025-05-21,22,6305.750000000,6372.750000000,6398.000000000,67.000000000,92.250000000
Austria,2025-05-21,23,5880.500000000,5898.000000000,5907.000000000,17.500000000,26.500000000
Germany,2025-06-29,0,41716.270000000,40317.722057049,39969.000000000,1398.547942951,1747.270000000
Germany,2025-06-29,1,39698.450000000,38285.807462343,38213.750000000,1412.642537657,1484.700000000
Germany,2025-06-29,2,38171.930000000,37005.976783802,37349.500000000,1165.953216198,822.430000000
Germany,2025-06-29,3,37498.930000000,36407.615575417,36915.250000000,1091.314424583,583.680000000
Germany,2025-06-29,4,37033.960000000,36280.150349095,36928.250000000,753.809650905,105.710000000
Germany,2025-06-29,5,36675.030000000,36460.334358131,36573.000000000,214.695641869,102.030000000
Germany,2025-06-29,6,37940.960000000,36802.112026546,38216.250000000,1138.847973454,275.290000000
Germany,2025-06-29,7,40035.250000000,37838.548535203,40883.000000000,2196.701464797,847.750000000
Germany,2025-06-29,8,43146.160000000,40207.635234072,43684.750000000,2938.524765928,538.590000000
Germany,2025-06-29,9,43751.980000000,42993.087719547,46419.250000000,758.892280453,2667.270000000
Germany,2025-06-29,10,45402.980000000,45330.327157718,48041.750000000,72.652842282,2638.770000000
Germany,2025-06-29,11,44667.670000000,47157.664302890,48969.500000000,2489.994302890,4301.830000000
Germany,2025-06-29,12,44838.300000000,47853.105784812,48593.250000000,3014.805784812,3754.950000000
Germany,2025-06-29,13,44261.260000000,46905.636066588,47293.750000000,2644.376066588,3032.490000000
Germany,2025-06-29,14,43102.360000000,45462.971840854,45950.750000000,2360.611840854,2848.390000000
Germany,2025-06-29,15,43558.740000000,44552.953283724,45144.000000000,994.213283724,1585.260000000
Germany,2025-06-29,16,43770.950000000,44386.727769874,45120.500000000,615.777769874,1349.550000000
Germany,2025-06-29,17,47100.810000000,45544.277832996,45983.000000000,1556.532167004,1117.810000000
Germany,2025-06-29,18,48866.640000000,47643.311050641,47080.750000000,1223.328949359,1785.890000000
Germany,2025-06-29,19,49139.160000000,48547.869341285,47528.500000000,591.290658715,1610.660000000
Germany,2025-06-29,20,48983.790000000,47824.700309354,47382.750000000,1159.089690646,1601.040000000
Germany,2025-06-29,21,47907.450000000,46307.395826285,46377.250000000,1600.054173715,1530.200000000
Germany,2025-06-29,22,47806.680000000,45124.540054820,44766.750000000,2682.139945180,3039.930000000
Germany,2025-06-29,23,45284.760000000,43471.959420317,42630.500000000,1812.800579683,2654.260000000
