country,model,model_family,specification_id,mae,rmse,mape,evaluated_observations,expected_observations,coverage,native_mae,native_rmse,native_mape,native_observations,native_coverage,common_mae,common_rmse,common_mape,common_observations,common_coverage,common_timestamp_count,valid_dates,invalid_dates,invalid_date_reasons,evaluation_role,comparison_role,selection_role,source_kind
Germany,"original ARIMA (2,1,2)",arima,arima_p2_d1_q2,7463.248851572936,8750.522546987855,14.898553784533364,8760,8760,1.0,7463.248851572936,8750.522546987855,14.898553784533364,8760,1.0,7463.248851572936,8750.522546987855,14.898553784533364,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_arima_2025
Germany,enhanced ARIMA,enhanced_arima,enhanced_ordinary_arima_p1_d1_q2,10306.959553928153,12518.611719622197,21.094677777738,8760,8760,1.0,10306.959553928153,12518.611719622197,21.094677777738,8760,1.0,10306.959553928153,12518.611719622197,21.094677777738,8760,1.0,8760,365,0,,descriptive_post_hoc_robustness,descriptive_post_hoc_robustness,not_used_for_selection,enhanced_arima_2025
Germany,original SARIMA,sarima,original_sarima,3850.314380841071,5773.37845215138,7.2703910732470565,8760,8760,1.0,3850.314380841071,5773.37845215138,7.2703910732470565,8760,1.0,3850.314380841071,5773.37845215138,7.2703910732470565,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_sarima_2025
Germany,weekly seasonal naive,baselines,Weekly seasonal naive,2615.772775114155,3945.1144422244442,4.987150680293287,8760,8760,1.0,2615.772775114155,3945.1144422244442,4.987150680293287,8760,1.0,2615.772775114155,3945.1144422244442,4.987150680293287,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,weekly_seasonal_naive_2025
Germany,Holt-Winters,holt_winters,hw_mul_s168_damped,2305.127724622338,3180.163435895562,4.401731599320167,8760,8760,1.0,2305.127724622338,3180.163435895562,4.401731599320167,8760,1.0,2305.127724622338,3180.163435895562,4.401731599320167,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,holt_winters_2025
Germany,SMARD,smard,official_smard_benchmark,1932.955787671233,2461.993566708092,3.7105746151232792,8760,8760,1.0,1932.955787671233,2461.993566708092,3.7105746151232792,8760,1.0,1932.955787671233,2461.993566708092,3.7105746151232792,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,official_smard_benchmark_2025
Austria,"original ARIMA (2,1,2)",arima,arima_p2_d1_q2,1007.87934156037,1172.5494289590997,15.439255185000594,8760,8760,1.0,1007.87934156037,1172.5494289590997,15.439255185000594,8760,1.0,1007.87934156037,1172.5494289590997,15.439255185000594,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_arima_2025
Austria,enhanced ARIMA,enhanced_arima,enhanced_ordinary_arima_p2_d1_q1,1021.782437369113,1201.6143790271535,15.6953076162103,8760,8760,1.0,1021.782437369113,1201.6143790271535,15.6953076162103,8760,1.0,1021.782437369113,1201.6143790271535,15.6953076162103,8760,1.0,8760,365,0,,descriptive_post_hoc_robustness,descriptive_post_hoc_robustness,not_used_for_selection,enhanced_arima_2025
Austria,original SARIMA,sarima,original_sarima,726.689857703035,1005.3663091627698,10.896020326336114,8760,8760,1.0,726.689857703035,1005.3663091627698,10.896020326336114,8760,1.0,726.689857703035,1005.3663091627698,10.896020326336114,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_sarima_2025
Austria,weekly seasonal naive,baselines,Weekly seasonal naive,437.96211187214607,640.4071711088567,6.450407538645117,8760,8760,1.0,437.96211187214607,640.4071711088567,6.450407538645117,8760,1.0,437.96211187214607,640.4071711088567,6.450407538645117,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,weekly_seasonal_naive_2025
Austria,Holt-Winters,holt_winters,hw_mul_s168_damped,470.73757031311476,652.9184790425242,7.259947092839719,8760,8760,1.0,470.73757031311476,652.9184790425242,7.259947092839719,8760,1.0,470.73757031311476,652.9184790425242,7.259947092839719,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,holt_winters_2025
Austria,SMARD,smard,official_smard_benchmark,337.7490296803653,464.2051105145805,5.028689663403716,8760,8760,1.0,337.7490296803653,464.2051105145805,5.028689663403716,8760,1.0,337.7490296803653,464.2051105145805,5.028689663403716,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,official_smard_benchmark_2025
