country,branch,specification_id,p,d,q,trend,transform,expected_jobs,completed_jobs,failed_jobs,expected_dates,valid_dates,invalid_dates,unresolved_dates,expected_observations,evaluated_observations,coverage,mae,rmse,mape,verified_reuse_jobs
Germany,ordinary,enhanced_ordinary_arima_p1_d1_q1,1,1,1,n,identity,16,16,0,16,16,0,0,384,384,1.0,11712.909109481603,13508.396278348748,26.42014836197564,0
Germany,ordinary,enhanced_ordinary_arima_p1_d1_q2,1,1,2,n,identity,16,16,0,16,16,0,0,384,384,1.0,11588.000334484566,13336.917540931217,26.049995251892888,0
Germany,ordinary,enhanced_ordinary_arima_p1_d1_q3,1,1,3,n,identity,16,14,2,16,14,0,2,384,336,0.875,11795.075630536889,13566.840127468176,26.597355006109176,0
Germany,ordinary,enhanced_ordinary_arima_p2_d1_q1,2,1,1,n,identity,16,14,2,16,14,0,2,384,336,0.875,10943.799895362266,12827.83766016876,24.18791038440425,0
Germany,ordinary,enhanced_ordinary_arima_p2_d1_q2,2,1,2,n,identity,16,14,2,16,14,0,2,384,336,0.875,8794.42602058045,10278.342040697135,19.587195734558524,0
Germany,ordinary,enhanced_ordinary_arima_p2_d1_q3,2,1,3,n,identity,16,14,2,16,14,0,2,384,336,0.875,9042.703503219971,10459.460253641617,20.22196210608706,0
Germany,ordinary,enhanced_ordinary_arima_p3_d1_q1,3,1,1,n,identity,16,15,1,16,15,0,1,384,360,0.9375,9793.004695346408,11417.499275506878,21.71041222557151,0
Germany,ordinary,enhanced_ordinary_arima_p3_d1_q2,3,1,2,n,identity,16,12,4,16,12,0,4,384,289,0.75,8305.93232257123,9834.601907206335,18.25929160985536,0
Germany,ordinary,enhanced_ordinary_arima_p3_d1_q3,3,1,3,n,identity,16,13,3,16,13,0,3,384,312,0.8125,8612.645470704265,10106.310399853146,19.50932731197847,0
Germany,ordinary,enhanced_ordinary_arima_p4_d1_q1,4,1,1,n,identity,16,14,2,16,14,0,2,384,336,0.875,9544.193102068026,10952.073238515006,21.054884782393437,0
Germany,ordinary,enhanced_ordinary_arima_p4_d1_q2,4,1,2,n,identity,16,3,13,16,3,0,13,384,71,0.1875,15295.00640085494,16921.867967371552,35.173766483115735,0
Austria,ordinary,enhanced_ordinary_arima_p1_d1_q1,1,1,1,n,identity,16,16,0,16,16,0,0,384,384,1.0,1977.6874532355725,2372.8506417696412,32.78045980313901,0
Austria,ordinary,enhanced_ordinary_arima_p1_d1_q2,1,1,2,n,identity,16,16,0,16,16,0,0,384,384,1.0,1544.7447053605401,1881.1408067383736,25.456060630253006,0
Austria,ordinary,enhanced_ordinary_arima_p1_d1_q3,1,1,3,n,identity,16,15,1,16,15,0,1,384,360,0.9375,1375.5732065923578,1701.8295281527796,21.994528766971015,0
Austria,ordinary,enhanced_ordinary_arima_p2_d1_q1,2,1,1,n,identity,16,16,0,16,16,0,0,384,384,1.0,1141.0617973201377,1435.4092688715286,17.90149647607834,0
Austria,ordinary,enhanced_ordinary_arima_p2_d1_q2,2,1,2,n,identity,16,16,0,16,16,0,0,384,384,1.0,1227.3414957601924,1501.799769228941,19.443362487584658,0
Austria,ordinary,enhanced_ordinary_arima_p2_d1_q3,2,1,3,n,identity,16,10,6,16,10,0,6,384,239,0.625,1011.4235085319644,1242.4313107277983,16.584362781448235,0
Austria,ordinary,enhanced_ordinary_arima_p3_d1_q1,3,1,1,n,identity,16,16,0,16,16,0,0,384,384,1.0,1224.862508253962,1537.5100670896675,19.59932535993029,0
Austria,ordinary,enhanced_ordinary_arima_p3_d1_q2,3,1,2,n,identity,16,15,1,16,15,0,1,384,360,0.9375,1308.8930288304375,1627.534102785407,21.2600205989437,0
Austria,ordinary,enhanced_ordinary_arima_p3_d1_q3,3,1,3,n,identity,16,16,0,16,16,0,0,384,384,1.0,1139.0774465462912,1348.218435221051,18.206628139844934,0
Austria,ordinary,enhanced_ordinary_arima_p4_d1_q1,4,1,1,n,identity,16,16,0,16,16,0,0,384,384,1.0,1238.200805151096,1552.069832754746,19.835853575660533,0
Austria,ordinary,enhanced_ordinary_arima_p4_d1_q2,4,1,2,n,identity,16,16,0,16,16,0,0,384,384,1.0,1273.8285545881206,1590.6276100087023,20.5708737125009,0
