country,target_date,category,forecast_origin_local,forecast_origin_utc,information_cutoff_utc,expected_observations,branch,specification_id,specification_order,p,d,q,trend,transform,weekly_invalid,weekly_invalid_reason,status,error_message,fit_status,convergence_status,converged,parameters_finite,standard_errors_finite,stationarity_ok,invertibility_ok,nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,warning_messages,hard_warning_messages,optimizer_retry_count,residual_n_effective,residual_rejected,residual_rejection_reason,residual_acf_values,residual_acf_flagged_lags,residual_ljung_box_statistics,residual_ljung_box_pvalues,mae,rmse,mape,evaluated_observations,coverage,verified_reuse,reuse_status,artifact_source,source_artifact_path,source_job_path,source_forecasts_path,reuse_verified
Austria,2024-01-01,New Year holiday / cold season,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p1_d0_q1,,1,0,1,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,176,4,-40.19277428011714,88.38554856023428,88.61946668888926,101.06748454038689,1.208137835307975,1.355966856012231,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.""]",[],0,0,True,residual diagnostics unavailable,{},[],{},{},285.1171155780555,323.6735432331363,4.740097235201143,24,1.0,False,,,,,,False
Austria,2024-01-01,New Year holiday / cold season,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q0,,2,0,0,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,176,4,-39.059701848905306,86.11940369781061,86.35332182646559,98.8013396779632,1.0837443897498065,inf,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,0,True,residual diagnostics unavailable,{},[],{},{},300.7443108929917,346.1592418772938,5.012112792359435,24,1.0,False,,,,,,False
Austria,2024-01-01,New Year holiday / cold season,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q1,,2,0,1,c,weekly_difference,False,,failed,AR roots fail stationarity threshold,success,converged,True,True,True,False,True,176,5,-38.77840476562096,87.55680953124192,87.90975070771252,103.40922950643268,1.0082795404390468,1.0133601366389395,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""ConvergenceWarning: Maximum Likelihood optimization failed to converge. Check mle_retvals"", ""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],1,0,True,residual diagnostics unavailable,{},[],{},{},,,,0,0.0,False,,,,,,False
Austria,2024-01-01,New Year holiday / cold season,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q2,,2,0,2,c,weekly_difference,False,,failed,MA roots fail invertibility threshold,success,converged,True,True,True,True,False,176,6,-38.4751065927241,88.9502131854482,89.44725460556656,107.97311715567712,1.0182740930032999,1.0040222914533967,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,0,True,residual diagnostics unavailable,{},[],{},{},,,,0,0.0,False,,,,,,False
Austria,2024-01-01,New Year holiday / cold season,2023-12-31T08:00:00+01:00,2023-12-31T07:00:00+00:00,2023-12-31T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p3_d0_q1,,3,0,1,c,weekly_difference,False,,failed,AR roots fail stationarity threshold; MA roots fail invertibility threshold,success,converged,True,True,True,False,False,176,6,-39.028389791287395,90.05677958257479,90.55382100269314,109.0796835528037,1.0000105056479434,1.001237490203267,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,0,True,residual diagnostics unavailable,{},[],{},{},,,,0,0.0,False,,,,,,False
Austria,2024-01-08,Monday / cold season,2024-01-07T08:00:00+01:00,2024-01-07T07:00:00+00:00,2024-01-07T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p1_d0_q1,,1,0,1,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,344,4,-1043.498260603082,2094.9965212061643,2095.1145153064595,2110.359087835658,1.0614460976446167,1.4796587305750308,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,176,False,,"{""1"": 0.20121797360309562, ""2"": 0.28041208249481253, ""3"": -0.07678624249794194, ""4"": -0.02415790541551048, ""5"": -0.12310306653563882, ""6"": -0.07754402115645652, ""7"": -0.08117260509218643, ""8"": -0.05442374533359475, ""9"": 0.01300498457561402, ""10"": -0.09795918923606244, ""11"": 0.09208166906128933, ""12"": -0.15670207483484955, ""13"": 0.017065583800645902, ""14"": -0.13022474394944783, ""15"": 0.031771029977302905, ""16"": -0.07080091841556146, ""17"": -0.026352846307709347, ""18"": -0.0161733152838427, ""19"": -0.02210086025444229, ""20"": 0.008033621184599526, ""21"": -0.030857075579778466, ""22"": 0.01370515708532356, ""23"": 0.06859044731957278, ""24"": 0.10530544232861291, ""25"": 0.04373414154008149, ""26"": 0.04328804689213943, ""27"": 0.01753678476834162, ""28"": 0.03655714733692743, ""29"": 0.007384870787537111, ""30"": -0.02137896942511887, ""31"": -0.051207654413516976, ""32"": -0.10508806223595386, ""33"": -0.07472030497736303, ""34"": -0.1060393806626908, ""35"": 0.006035938271174971, ""36"": -0.031843804748238266, ""37"": -0.0019343793876544116, ""38"": 0.02935683892972143, ""39"": -0.00870811176085751, ""40"": 0.018771812036535492, ""41"": 0.06710519438762304, ""42"": 0.03731342295188819, ""43"": -0.032432170864491794, ""44"": -0.057599146833482225, ""45"": -0.05126636077751093, ""46"": -0.03049283314462893, ""47"": 0.019582823094052525, ""48"": 0.07205933589628431}","[1, 2]","{""24"": 44.672881108771726, ""48"": 57.74355205781838}","{""24"": 0.0029192747371452796, ""48"": 0.11476414516896939}",2143.3280537671376,2407.4870929442222,23.165585552986563,24,1.0,False,,,,,,False
Austria,2024-01-08,Monday / cold season,2024-01-07T08:00:00+01:00,2024-01-07T07:00:00+00:00,2024-01-07T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q0,,2,0,0,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,344,4,-1027.781638390711,2063.5632767814213,2063.6812708817165,2078.925843410915,1.168860658061333,inf,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,176,False,,"{""1"": 0.13484444841869034, ""2"": -0.028644928252708257, ""3"": -0.10691701018845898, ""4"": -0.05098632706963564, ""5"": 0.007297666361406972, ""6"": 0.03318201400156372, ""7"": 0.02828288899280377, ""8"": 0.08268364533050239, ""9"": 0.08594379710874567, ""10"": -0.013326399183457125, ""11"": 0.144070298958172, ""12"": -0.07294892434383304, ""13"": 0.009517239041857962, ""14"": -0.03379558526941795, ""15"": 0.06727686250403987, ""16"": -0.019293669988640273, ""17"": -0.01722077830975225, ""18"": 0.053382303322805316, ""19"": 0.022943544845543676, ""20"": 0.019289923913079418, ""21"": -0.0807665089624036, ""22"": -0.05974211824282905, ""23"": 0.056268480114440085, ""24"": 0.11080458263771747, ""25"": -0.00045784537039471904, ""26"": -0.025477271940692093, ""27"": -0.004701039274264778, ""28"": 0.03615713325645101, ""29"": 0.03253705695126195, ""30"": 0.011253864894942348, ""31"": -0.015612535730217272, ""32"": -0.059952818490071856, ""33"": -0.05442707253640786, ""34"": -0.07437975783905748, ""35"": 0.026132935428459972, ""36"": 0.010534116863551922, ""37"": -0.021626803724791605, ""38"": 0.024019791315296215, ""39"": -0.07670525667335396, ""40"": -0.014692928561642926, ""41"": 0.0910958440931337, ""42"": 0.07968754979042283, ""43"": -0.06246174203886032, ""44"": -0.09733352275324797, ""45"": -0.04847980918638331, ""46"": -0.06626833735661716, ""47"": 0.002325270547178926, ""48"": 0.046742335069305536}",[],"{""24"": 21.177157169403063, ""48"": 35.09337541709641}","{""24"": 0.5098136733196876, ""48"": 0.8791690559777142}",2095.144712377472,2371.0593078049737,22.550034420283392,24,1.0,False,,,,,,False
Austria,2024-01-08,Monday / cold season,2024-01-07T08:00:00+01:00,2024-01-07T07:00:00+00:00,2024-01-07T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q1,,2,0,1,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,344,5,-1022.1185595648608,2054.2371191297216,2054.414633922621,2073.4403274165884,1.2746982000435727,3.3870457813838413,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,176,False,,"{""1"": -0.009051355507779045, ""2"": 0.05992971161868869, ""3"": -0.07093564653669882, ""4"": -0.01988136076578796, ""5"": 0.0037834138657181623, ""6"": 0.017545318132809462, ""7"": 0.004745056975270418, ""8"": 0.049163866056751625, ""9"": 0.07656407389842845, ""10"": -0.0630582757658333, ""11"": 0.1644927989693687, ""12"": -0.1305395511208994, ""13"": 0.04789018149836505, ""14"": -0.06925983438351126, ""15"": 0.07540716015838053, ""16"": -0.039373160619934115, ""17"": -0.030789953944490946, ""18"": 0.049303741485663466, ""19"": 0.0034757379917526175, ""20"": 0.03831097036303712, ""21"": -0.06582384227782216, ""22"": -0.04457348407651141, ""23"": 0.04374826637815396, ""24"": 0.09201476180435111, ""25"": -0.002314997055569482, ""26"": -0.007196254504122504, ""27"": 0.0001804214479990587, ""28"": 0.0380630404457706, ""29"": 0.02004903638894058, ""30"": 0.006196206361260003, ""31"": -0.011909320893878025, ""32"": -0.05392602090069627, ""33"": -0.031358491555541365, ""34"": -0.07757505164101086, ""35"": 0.033686847978673926, ""36"": -0.015377620772669113, ""37"": -0.021620274077026606, ""38"": 0.042149109226834985, ""39"": -0.07669349131024487, ""40"": -0.014426190675879899, ""41"": 0.07689071627849434, ""42"": 0.05740579060646878, ""43"": -0.043306406544469656, ""44"": -0.07165201862768156, ""45"": -0.024621882978278904, ""46"": -0.05302466130334084, ""47"": 0.0007140688737898332, ""48"": 0.04966619546503428}",[],"{""24"": 19.56261314522074, ""48"": 29.61722384286193}","{""24"": 0.5490966575266204, ""48"": 0.9626586944653397}",2096.382711855936,2369.9844330342808,22.575550376840432,24,1.0,False,,,,,,False
Austria,2024-01-08,Monday / cold season,2024-01-07T08:00:00+01:00,2024-01-07T07:00:00+00:00,2024-01-07T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p2_d0_q2,,2,0,2,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,344,6,-1020.4943837490104,2052.988767498021,2053.2380256582583,2076.032617442261,1.260424998704778,2.185636377839163,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,176,False,,"{""1"": -0.025975391810121165, ""2"": 0.016819465759035413, ""3"": 0.011116808653491139, ""4"": -0.02411231754466452, ""5"": 0.008102580499152265, ""6"": 0.011909732595995034, ""7"": -0.02242162141595395, ""8"": 0.051347987091610314, ""9"": 0.05405683970191424, ""10"": -0.07449254437266396, ""11"": 0.1529297651767823, ""12"": -0.12450173652799279, ""13"": 0.02248945225138737, ""14"": -0.0520501766757256, ""15"": 0.06479682635593267, ""16"": -0.04739714578385232, ""17"": -0.04590318877427088, ""18"": 0.050637629486835305, ""19"": -0.0010661166508391582, ""20"": 0.042096118590155225, ""21"": -0.052575518256555716, ""22"": -0.04985660715585252, ""23"": 0.045292552853828334, ""24"": 0.09417852936713976, ""25"": -0.006158543967783688, ""26"": -0.008837975172255767, ""27"": 0.011566894355070348, ""28"": 0.03609146015393116, ""29"": 0.015156305218418832, ""30"": 0.0015315464993646373, ""31"": -0.013900771473606029, ""32"": -0.04545088820064306, ""33"": -0.029359281834147866, ""34"": -0.0741032603673265, ""35"": 0.028107220035281565, ""36"": -0.01897927489629336, ""37"": -0.02897366661826915, ""38"": 0.05901715242028236, ""39"": -0.08157716753153534, ""40"": -0.022616908693256527, ""41"": 0.07685832674014755, ""42"": 0.05955194680816408, ""43"": -0.050151728541483975, ""44"": -0.06549092500736173, ""45"": 0.004177716470647516, ""46"": -0.05708483054121689, ""47"": -0.0020511729422337446, ""48"": 0.06225943172387446}",[],"{""24"": 16.390076121237932, ""48"": 27.08423702810248}","{""24"": 0.692148826127339, ""48"": 0.9789300938887161}",2099.620741149885,2371.591184999983,22.621708015851848,24,1.0,False,,,,,,False
Austria,2024-01-08,Monday / cold season,2024-01-07T08:00:00+01:00,2024-01-07T07:00:00+00:00,2024-01-07T07:00:00+00:00,24,weekly_differenced,weekly_differenced_arima_p3_d0_q1,,3,0,1,c,weekly_difference,False,,completed,,success,converged,True,True,True,True,True,344,6,-1020.6421324295296,2053.2842648590595,2053.533523019297,2076.3281148033,1.1604745398727685,10.076319645854914,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],0,176,False,,"{""1"": -0.030238757733755308, ""2"": 0.031372220136130766, ""3"": -0.022406989319719368, ""4"": 0.010372193292702524, ""5"": 0.021014483892116333, ""6"": 0.009010240699527203, ""7"": -0.0211716582734607, ""8"": 0.03193999176229352, ""9"": 0.047683133714481796, ""10"": -0.0875650096153663, ""11"": 0.14706809025208614, ""12"": -0.13988624122554993, ""13"": 0.029303969954823324, ""14"": -0.06708177851985327, ""15"": 0.06607707498004577, ""16"": -0.056199907390937304, ""17"": -0.051174426651607444, ""18"": 0.04542723944876481, ""19"": 0.005456840969279868, ""20"": 0.04512581692231351, ""21"": -0.06074785191099462, ""22"": -0.04796121646371958, ""23"": 0.048270128690518554, ""24"": 0.09822408083998602, ""25"": -0.005092501601518697, ""26"": -0.010797770253772392, ""27"": 0.005822529090441256, ""28"": 0.03873954623048782, ""29"": 0.015295048557194995, ""30"": 0.0005975760844569792, ""31"": -0.01217216453594828, ""32"": -0.04655705339511819, ""33"": -0.027040741547171742, ""34"": -0.07680696809517629, ""35"": 0.028867302227332522, ""36"": -0.01850688172772875, ""37"": -0.024333872716070716, ""38"": 0.049156713016123225, ""39"": -0.08478687073866834, ""40"": -0.024347500411040324, ""41"": 0.07745059263731331, ""42"": 0.06136963731609383, ""43"": -0.04508437661841661, ""44"": -0.06172563476844764, ""45"": 0.0013509919112558275, ""46"": -0.04360201436779811, ""47"": 0.007263037884350836, ""48"": 0.06102380977284696}",[],"{""24"": 18.061520539538563, ""48"": 28.19387694600243}","{""24"": 0.583355476193711, ""48"": 0.9692626758466031}",2104.4541013277726,2374.924762928534,22.6857067772651,24,1.0,False,,,,,,False
