branch,specification_id,p,d,q,trend,transform
ordinary,enhanced_ordinary_arima_p1_d1_q1,1,1,1,n,identity
ordinary,enhanced_ordinary_arima_p1_d1_q2,1,1,2,n,identity
ordinary,enhanced_ordinary_arima_p1_d1_q3,1,1,3,n,identity
ordinary,enhanced_ordinary_arima_p2_d1_q1,2,1,1,n,identity
ordinary,enhanced_ordinary_arima_p2_d1_q2,2,1,2,n,identity
ordinary,enhanced_ordinary_arima_p2_d1_q3,2,1,3,n,identity
ordinary,enhanced_ordinary_arima_p3_d1_q1,3,1,1,n,identity
ordinary,enhanced_ordinary_arima_p3_d1_q2,3,1,2,n,identity
ordinary,enhanced_ordinary_arima_p3_d1_q3,3,1,3,n,identity
ordinary,enhanced_ordinary_arima_p4_d1_q1,4,1,1,n,identity
ordinary,enhanced_ordinary_arima_p4_d1_q2,4,1,2,n,identity
weekly_differenced,weekly_differenced_arima_p1_d0_q1,1,0,1,c,weekly_difference
weekly_differenced,weekly_differenced_arima_p2_d0_q0,2,0,0,c,weekly_difference
weekly_differenced,weekly_differenced_arima_p2_d0_q1,2,0,1,c,weekly_difference
weekly_differenced,weekly_differenced_arima_p2_d0_q2,2,0,2,c,weekly_difference
weekly_differenced,weekly_differenced_arima_p3_d0_q1,3,0,1,c,weekly_difference
