target_date,category
2024-01-01,New Year holiday / cold season
2024-01-08,Monday / cold season
2024-01-27,Saturday / cold season
2024-02-15,ordinary weekday
2024-03-31,spring-DST Sunday
2024-04-01,Easter Monday holiday
2024-05-09,Ascension holiday
2024-06-17,Monday / warm season
2024-07-25,warm-season weekday
2024-08-18,warm-season Sunday
2024-09-12,ordinary weekday
2024-10-03,Germany-specific public holiday
2024-10-26,Austria-specific public holiday / Saturday
2024-10-27,autumn-DST Sunday
2024-11-11,Monday
2024-12-25,Christmas holiday / cold season
