country,model,model_family,specification_id,mae,rmse,mape,evaluated_observations,expected_observations,coverage,native_mae,native_rmse,native_mape,native_observations,native_coverage,common_mae,common_rmse,common_mape,common_observations,common_coverage,common_timestamp_count,valid_dates,invalid_dates,invalid_date_reasons,evaluation_role,comparison_role,selection_role,source_kind,analysis_label,mae_change_vs_original_sarima,mae_improvement_vs_original_sarima,mae_improvement_pct_vs_original_sarima
Germany,Original SARIMA,sarima,original_sarima,3850.314380841071,5773.37845215138,7.270391073247056,8760,8760,1.0,3850.314380841071,5773.37845215138,7.270391073247056,8760,1.0,3850.314380841071,5773.37845215138,7.270391073247056,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_sarima_2025,enhanced/post-hoc SARIMA robustness analysis,0.0,0.0,0.0
Germany,Enhanced SARIMA,enhanced_sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,3850.314380841071,5773.37845215138,7.2703910732470565,8760,8760,1.0,3850.314380841071,5773.37845215138,7.2703910732470565,8760,1.0,3850.314380841071,5773.37845215138,7.2703910732470565,8760,1.0,8760,365,0,,descriptive_post_hoc_robustness,descriptive_post_hoc_robustness,not_used_for_selection,enhanced_sarima_2025,enhanced/post-hoc SARIMA robustness analysis,0.0,0.0,0.0
Germany,Original ARIMA,arima,arima_p2_d1_q2,7463.248851572936,8750.522546987855,14.898553784533364,8760,8760,1.0,7463.248851572936,8750.522546987855,14.898553784533364,8760,1.0,7463.248851572936,8750.522546987855,14.898553784533364,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_arima_2025,enhanced/post-hoc SARIMA robustness analysis,3612.9344707318646,-3612.9344707318646,-93.83479148377093
Germany,Enhanced ARIMA,enhanced_arima,enhanced_ordinary_arima_p1_d1_q2,10306.959553928153,12518.611719622197,21.094677777738,8760,8760,1.0,10306.959553928153,12518.611719622197,21.094677777738,8760,1.0,10306.959553928153,12518.611719622197,21.094677777738,8760,1.0,8760,365,0,,descriptive_post_hoc_robustness,descriptive_post_hoc_robustness,not_used_for_selection,enhanced_arima_2025,enhanced/post-hoc SARIMA robustness analysis,6456.645173087081,-6456.645173087081,-167.69137619553752
Germany,Weekly seasonal naive,baselines,Weekly seasonal naive,2615.772775114155,3945.114442224444,4.987150680293287,8760,8760,1.0,2615.772775114155,3945.114442224444,4.987150680293287,8760,1.0,2615.772775114155,3945.114442224444,4.987150680293287,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,weekly_seasonal_naive_2025,enhanced/post-hoc SARIMA robustness analysis,-1234.5416057269158,1234.5416057269158,32.06339752073024
Germany,Holt-Winters,holt_winters,hw_mul_s168_damped,2305.127724622338,3180.163435895562,4.401731599320167,8760,8760,1.0,2305.127724622338,3180.163435895562,4.401731599320167,8760,1.0,2305.127724622338,3180.163435895562,4.401731599320167,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,holt_winters_2025,enhanced/post-hoc SARIMA robustness analysis,-1545.1866562187329,1545.1866562187329,40.13144131574001
Germany,SMARD,smard,official_smard_benchmark,1932.955787671233,2461.993566708092,3.7105746151232792,8760,8760,1.0,1932.955787671233,2461.993566708092,3.7105746151232792,8760,1.0,1932.955787671233,2461.993566708092,3.7105746151232792,8760,1.0,8760,0,0,,external_comparator,external_comparator,not_used_for_selection,official_smard_benchmark_2025,enhanced/post-hoc SARIMA robustness analysis,-1917.3585931698378,1917.3585931698378,49.79745557169298
Austria,Original SARIMA,sarima,original_sarima,726.689857703035,1005.3663091627698,10.896020326336114,8760,8760,1.0,726.689857703035,1005.3663091627698,10.896020326336114,8760,1.0,726.689857703035,1005.3663091627698,10.896020326336114,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_sarima_2025,enhanced/post-hoc SARIMA robustness analysis,0.0,0.0,0.0
Austria,Enhanced SARIMA,enhanced_sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,588.9664693834944,872.1535380954178,8.735706915105505,8760,8760,1.0,588.9664693834944,872.1535380954178,8.735706915105505,8760,1.0,588.9664693834944,872.1535380954178,8.735706915105505,8760,1.0,8760,365,0,,descriptive_post_hoc_robustness,descriptive_post_hoc_robustness,not_used_for_selection,enhanced_sarima_2025,enhanced/post-hoc SARIMA robustness analysis,-137.72338831954062,137.72338831954062,18.95215501629058
Austria,Original ARIMA,arima,arima_p2_d1_q2,1007.87934156037,1172.5494289590995,15.439255185000594,8760,8760,1.0,1007.87934156037,1172.5494289590995,15.439255185000594,8760,1.0,1007.87934156037,1172.5494289590995,15.439255185000594,8760,1.0,8760,0,0,,descriptive_post_hoc_robustness,external_comparator,not_used_for_selection,original_arima_2025,enhanced/post-hoc SARIMA robustness analysis,281.18948385733495,-281.18948385733495,-38.69456562200215
