country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,expected_jobs,completed_jobs,failed_jobs,expected_observations,evaluated_observations,coverage,mae,rmse,mape,valid_dates,invalid_dates,mean_runtime_seconds,median_runtime_seconds,converged_jobs,residual_rejected_jobs,residual_acf_168_mean,eligible,stage,analysis_label
Austria,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,16,16,0,384,384,1.0,1266.1448569508489,1526.1641288002024,19.143877788990512,16,0,3.114522285064595,3.0738613569992594,16,16,0.5296248116322952,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,16,16,0,384,384,1.0,1263.6027817763377,1564.1919724828538,18.82323178626816,16,0,27.677538854375598,26.299959580006544,16,16,0.5762673166087684,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,16,16,0,384,384,1.0,1116.098190098339,1398.253131761228,16.618871629973903,16,0,9.385592414248094,9.2077123199997,16,16,0.4036888049909733,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,16,0,16,384,0,0.0,,,,0,16,57.54723723049756,55.743599395500496,16,16,,False,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q1_P1_D1_Q0_s24,9,1,0,1,1,1,0,24,n,16,16,0,384,384,1.0,1130.8898276031643,1449.1456742574935,16.63645655478305,16,0,,,16,16,,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p1_d0_q2_P0_D1_Q0_s24,6,1,0,2,0,1,0,24,n,16,16,0,384,384,1.0,994.9037555881705,1301.0410553041906,14.624456068627026,16,0,7.861689793688129,7.884331048000604,16,16,0.354276492134979,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q0_P0_D1_Q0_s24,2,2,0,0,0,1,0,24,n,16,16,0,384,384,1.0,929.1369508130592,1239.151949825601,13.646095065335917,16,0,4.5111981016270875,4.655998656002339,16,16,0.38966350124617943,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q0_P1_D1_Q0_s24,10,2,0,0,1,1,0,24,n,16,16,0,384,384,1.0,984.9149289968809,1260.262036410708,14.670818750074655,16,0,36.297400428939,36.07389490150672,16,16,0.45049833002173045,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q1_P0_D1_Q0_s24,5,2,0,1,0,1,0,24,n,16,16,0,384,384,1.0,937.2350396772536,1251.759977829675,13.72777660861916,16,0,9.82057287506359,11.064985222983523,16,16,0.3567948955934996,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q1_P1_D1_Q0_s24,11,2,0,1,1,1,0,24,n,16,16,0,384,384,1.0,1000.6691081626736,1281.8447586195596,14.856507913519504,16,0,44.617871641747115,44.7580487424857,16,16,0.4093658430422082,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p2_d0_q2_P0_D1_Q0_s24,7,2,0,2,0,1,0,24,n,16,16,0,384,384,1.0,945.8727025564285,1260.1421477240008,13.852532606423603,16,0,12.136148229001265,12.07714355250937,16,16,0.3467111738654025,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Austria,sarima_p3_d0_q0_P0_D1_Q0_s24,3,3,0,0,0,1,0,24,n,16,16,0,384,384,1.0,950.8192115134185,1263.8056196526272,13.930748581251049,16,0,7.634567113562298,7.787903856995399,16,16,0.34652400825483454,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q0_P0_D1_Q0_s24,1,1,0,0,0,1,0,24,n,16,16,0,384,384,1.0,8001.348336051662,9742.579319549059,15.381071055004245,16,0,10.88746523500049,11.087748571488191,16,16,0.6818035839318101,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q0_P1_D1_Q0_s24,8,1,0,0,1,1,0,24,n,16,16,0,384,384,1.0,7997.068739991679,9792.935635674454,15.28209164868543,16,0,60.59623360368278,59.89835974249581,16,16,0.7126272335844359,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
Germany,sarima_p1_d0_q1_P0_D1_Q0_s24,4,1,0,1,0,1,0,24,n,16,16,0,384,384,1.0,7573.984076571043,9387.92225420631,14.55723302752816,16,0,9.461948870877677,9.815581108996412,16,16,0.5431036213674156,True,screening_2024,enhanced/post-hoc SARIMA robustness analysis
