country,specification_id,seasonal_form,seasonal_periods,damped_trend,forecast_origin_local,forecast_origin_utc,attempt_number,optimizer,minimize_kwargs,message,status,success,nit,nfev,njev,warning_messages,parameters_finite,aic,aic_finite,aicc,aicc_finite,bic,bic_finite,fitting_time_seconds
Germany,hw_add_s24_undamped,add,24,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,10.0,810,27,[],True,496442.63668637973,True,496442.68978827255,True,496679.64994150965,True,3.796463400009088
Germany,hw_add_s24_damped,add,24,True,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,21.0,1674,54,[],True,495406.2181815236,True,495406.27482515975,True,495651.6961957653,True,8.622303500014823
Germany,hw_add_s168_undamped,add,168,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,36.0,9918,57,[],True,482312.5205307538,True,482314.26636683446,True,483768.4590979804,True,6.966160399984801
Germany,hw_add_s168_damped,add,168,True,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,36.0,8225,47,[],True,477156.7826590612,True,477158.5486128483,True,478621.1859853996,True,9.348931399988942
Germany,hw_mul_s24_undamped,mul,24,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,2.0,180,6,[],True,491580.4079499577,True,491580.4610518505,True,491817.4212050876,True,3.578701299993554
Germany,hw_mul_s24_damped,mul,24,True,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,True,95.0,3162,102,[],True,490658.3989667802,True,490658.45561041636,True,490903.8769810219,True,14.056442299974151
Germany,hw_mul_s168_undamped,mul,168,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},"STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT",1,False,69.0,15138,87,"[""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]",True,474971.734441314,True,474973.48027739464,True,476427.6730085406,True,9.157327599998098
Germany,hw_mul_s168_undamped,mul,168,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,2,L-BFGS-B,"{""options"": {""maxfun"": 30000, ""maxiter"": 2000}}","STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT",1,False,146.0,30102,173,"[""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]",True,474965.35721154703,True,474967.10304762766,True,476421.2957787736,True,15.101408599992283
Germany,hw_mul_s168_undamped,mul,168,False,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,3,least_squares,"{""max_nfev"": 2000}",`xtol` termination condition is satisfied.,3,True,,14,9,[],True,474942.49766771536,True,474944.243503796,True,476398.43623494194,True,16.591290299984394
Germany,hw_mul_s168_damped,mul,168,True,2023-12-31T18:00:00+01:00,2023-12-31T17:00:00+00:00,1,L-BFGS-B,{},"STOP: TOTAL NO. OF F,G EVALUATIONS EXCEEDS LIMIT",1,False,79.0,15050,86,"[""ConvergenceWarning: Optimization failed to converge. Check mle_retvals.""]",True,474960.3457607977,True,474962.11171458475,True,476424.74908713606,True,9.960722600022564
