country,target_date,model,alignment_status,target_rows,actual_max_abs_difference
Austria,2024-02-15,reg_arima_h,aligned,24,0.0
Austria,2024-02-15,reg_arima_h_d,aligned,24,0.0
Austria,2024-02-15,reg_arima_h_d_m,aligned,24,0.0
Austria,2024-02-15,reg_arima_h_d_m_hol,aligned,24,0.0
Austria,2024-02-15,selected_arima,aligned,24,0.0
Austria,2024-02-15,selected_holt_winters,aligned,24,0.0
Austria,2024-02-15,selected_sarima,aligned,24,0.0
Austria,2024-02-15,weekly_seasonal_naive,aligned,24,0.0
Austria,2024-03-31,reg_arima_h,aligned,23,0.0
Austria,2024-03-31,reg_arima_h_d,aligned,23,0.0
Austria,2024-03-31,reg_arima_h_d_m,aligned,23,0.0
Austria,2024-03-31,reg_arima_h_d_m_hol,aligned,23,0.0
Austria,2024-03-31,selected_arima,aligned,23,0.0
Austria,2024-03-31,selected_holt_winters,aligned,23,0.0
Austria,2024-03-31,selected_sarima,aligned,23,0.0
Austria,2024-03-31,weekly_seasonal_naive,aligned,23,0.0
Austria,2024-10-27,reg_arima_h,aligned,25,0.0
Austria,2024-10-27,reg_arima_h_d,aligned,25,0.0
Austria,2024-10-27,reg_arima_h_d_m,aligned,25,0.0
Austria,2024-10-27,reg_arima_h_d_m_hol,aligned,25,0.0
Austria,2024-10-27,selected_arima,aligned,25,0.0
Austria,2024-10-27,selected_holt_winters,aligned,25,0.0
Austria,2024-10-27,selected_sarima,aligned,25,0.0
Austria,2024-10-27,weekly_seasonal_naive,aligned,25,0.0
Germany,2024-02-15,reg_arima_h,aligned,24,0.0
Germany,2024-02-15,reg_arima_h_d,aligned,24,0.0
Germany,2024-02-15,reg_arima_h_d_m,aligned,24,0.0
Germany,2024-02-15,reg_arima_h_d_m_hol,aligned,24,0.0
Germany,2024-02-15,selected_arima,aligned,24,0.0
Germany,2024-02-15,selected_holt_winters,aligned,24,0.0
Germany,2024-02-15,selected_sarima,aligned,24,0.0
Germany,2024-02-15,weekly_seasonal_naive,aligned,24,0.0
Germany,2024-03-31,reg_arima_h,aligned,23,0.0
Germany,2024-03-31,reg_arima_h_d,aligned,23,0.0
Germany,2024-03-31,reg_arima_h_d_m,aligned,23,0.0
Germany,2024-03-31,reg_arima_h_d_m_hol,aligned,23,0.0
Germany,2024-03-31,selected_arima,aligned,23,0.0
Germany,2024-03-31,selected_holt_winters,aligned,23,0.0
Germany,2024-03-31,selected_sarima,aligned,23,0.0
Germany,2024-03-31,weekly_seasonal_naive,aligned,23,0.0
Germany,2024-10-27,reg_arima_h,aligned,25,0.0
Germany,2024-10-27,reg_arima_h_d,aligned,25,0.0
Germany,2024-10-27,reg_arima_h_d_m,aligned,25,0.0
Germany,2024-10-27,reg_arima_h_d_m_hol,aligned,25,0.0
Germany,2024-10-27,selected_arima,aligned,25,0.0
Germany,2024-10-27,selected_holt_winters,aligned,25,0.0
Germany,2024-10-27,selected_sarima,aligned,25,0.0
Germany,2024-10-27,weekly_seasonal_naive,aligned,25,0.0
