country,model_family,selected_specification_id,selection_year,primary_selection_metric,selection_value,selection_source,status,notes
Germany,baselines,Weekly seasonal naive,2024,mae,2656.1401912568303,results/baselines/tables/baseline_validation_2024.csv,benchmark,Benchmark representative; not frozen and retained as a candidate for future testing.
Germany,holt_winters,hw_mul_s168_damped,2024,mae,2173.8406156522165,results/exponential_smoothing/holt_winters/validation_2024/holt_winters_selected_specifications_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Germany,arima,arima_p2_d1_q2,2024,mae,7678.890647407404,results/arima/tables/arima_selected_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Germany,sarima,sarima_p2_d0_q0_P0_D1_Q0_s24,2024,mae,3886.4925410368737,results/arima_sarima/tables/sarima_selected_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Germany,regression_arima_errors,reg_arima_h_d_m_hol,2024,mae,4405.788612552893,results/regression_arima_errors/tables/regression_arima_errors_selected_2024.csv,frozen,"Selected 2024 specification; frozen for registry use. Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
Germany,regression_arima_errors_intervention,reg_arima_h_d_m_hol_crisis,2024,mae,4405.495456780948,results/regression_arima_errors_intervention/tables/regression_arima_errors_intervention_selected_2024.csv,frozen,"Selected 2024 specification; frozen for registry use. Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
Austria,baselines,Weekly seasonal naive,2024,mae,409.3303734061931,results/baselines/tables/baseline_validation_2024.csv,benchmark,Benchmark representative; not frozen and retained as a candidate for future testing.
Austria,holt_winters,hw_mul_s168_damped,2024,mae,444.4679844845149,results/exponential_smoothing/holt_winters/validation_2024/holt_winters_selected_specifications_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Austria,arima,arima_p2_d1_q2,2024,mae,1037.6422688720838,results/arima/tables/arima_selected_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Austria,sarima,sarima_p1_d0_q1_P1_D1_Q0_s24,2024,mae,743.7670939247155,results/arima_sarima/tables/sarima_selected_2024.csv,frozen,Selected 2024 specification; frozen for registry use.
Austria,regression_arima_errors,reg_arima_h_d_m_hol,2024,mae,743.7468520962873,results/regression_arima_errors/tables/regression_arima_errors_selected_2024.csv,frozen,"Selected 2024 specification; frozen for registry use. Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
Austria,regression_arima_errors_intervention,reg_arima_h_d_m_hol_crisis,2024,mae,743.7043827404692,results/regression_arima_errors_intervention/tables/regression_arima_errors_intervention_selected_2024.csv,frozen,"Selected 2024 specification; frozen for registry use. Residual adequacy warning: strong remaining daily residual autocorrelation; significant Ljung-Box diagnostics; retained as a forecasting comparator, but not fully adequate in residual-whiteness terms."
