file,country,dataset_type,original_column,standardized_column,role,unit,source_dtype,parsed_dtype,row_count,valid_value_count,missing_count,non_numeric_count,non_finite_count,minimum,p1,p5,p25,p50,p75,p95,p99,mean,maximum,status
smard_austria_actual.csv,Austria,actual,grid load [MWh] Calculated resolutions,grid_load_mwh,primary_actual_target,MWh,str,float64,52608,52608,0,0,0,4013.75,4460.0175,4881.5,5821.4375,6829.125,7796.75,9246.574999999997,9828.2325,6876.45595441758,10551.75,PASS
smard_austria_actual.csv,Austria,actual,Grid load incl. hydro pumped storage [MWh] Calculated resolutions,grid_load_including_pumped_storage_mwh,auxiliary_grid_load_including_pumped_storage,MWh,str,float64,52608,52608,0,0,0,4078.25,4667.5525,5185.25,6303.75,7231.75,8016.5625,9281.412499999999,9852.465,7193.062520909368,10908.25,PASS
smard_austria_actual.csv,Austria,actual,Hydro pumped storage [MWh] Calculated resolutions,pumped_storage_mwh,auxiliary_pumped_storage,MWh,str,float64,52608,52608,0,0,0,0.0,0.0,0.0,0.0,0.0,514.25,1505.5,1803.25,316.651317290146,2220.0,WARNING
smard_austria_actual.csv,Austria,actual,Residual load [MWh] Calculated resolutions,residual_load_mwh,auxiliary_residual_load,MWh,str,float64,52608,52607,0,1,0,-1183.75,1459.4450000000002,2932.25,4580.0,5657.75,6796.25,8362.785,9330.25,5659.2261647689475,10383.5,WARNING
smard_austria_forecasted.csv,Austria,forecast,grid load [MWh] Calculated resolutions,grid_load_mwh,official_forecast_benchmark,MWh,str,float64,52608,52608,0,0,0,3980.0,4497.07,4918.0,5792.0,6783.0,7679.0,9026.0,9493.0,6800.233823753041,9989.0,PASS
smard_austria_forecasted.csv,Austria,forecast,Residual load [MWh] Calculated resolutions,residual_load_mwh,auxiliary_residual_load,MWh,str,float64,52608,52536,0,72,0,-2442.0,1647.0,3034.75,4561.0,5523.0,6564.0,8032.0,8860.0,5529.064850768997,9664.0,WARNING
smard_germany_actual.csv,Germany,actual,grid load [MWh] Calculated resolutions,grid_load_mwh,primary_actual_target,MWh,str,float64,52608,52608,0,0,0,30902.75,35857.1191,39567.675,46587.25,54360.0,61671.3125,70360.575,74220.965,54401.54724490572,81319.5,PASS
smard_germany_actual.csv,Germany,actual,Grid load incl. hydro pumped storage [MWh] Calculated resolutions,grid_load_including_pumped_storage_mwh,auxiliary_grid_load_including_pumped_storage,MWh,str,float64,52608,52608,0,0,0,31437.0,36709.82,40828.175,48549.415,55861.95,62911.1875,71056.23749999999,75082.5,55830.754203163015,83453.75,PASS
smard_germany_actual.csv,Germany,actual,Hydro pumped storage [MWh] Calculated resolutions,pumped_storage_mwh,auxiliary_pumped_storage,MWh,str,float64,52608,52608,0,0,0,0.0,2.0,7.0,169.75,767.5,2296.3125,4818.25,5848.18,1429.2069514142336,8102.0,PASS
smard_germany_actual.csv,Germany,actual,Residual load [MWh] Calculated resolutions,residual_load_mwh,auxiliary_residual_load,MWh,str,float64,52608,52608,0,0,0,-8443.14,1541.4225000000008,9244.898000000001,23855.5575,33613.25,42535.25,55155.41249999997,63224.045,33050.965853102185,72274.5,PASS
smard_germany_forecasted.csv,Germany,forecast,grid load [MWh] Calculated resolutions,grid_load_mwh,official_forecast_benchmark,MWh,str,float64,52608,52584,0,24,0,30544.75,36105.155,39780.7875,46604.1875,53915.25,61560.25,68518.35,71281.72249999999,54064.58914422638,77585.75,WARNING
smard_germany_forecasted.csv,Germany,forecast,Residual load [MWh] Calculated resolutions,residual_load_mwh,auxiliary_residual_load,MWh,str,float64,52608,52584,0,24,0,-14040.25,155.0325000000001,9004.6625,24030.125,33725.75,42229.9375,53896.8035,61444.17999999999,32794.28040791876,68032.75,WARNING
